id,idiom_src,meaning_src,idiom_tgt,meaning_tgt,confidence,verified,lang_pair,mSBERT_score,LaBSE_score
36,অগভীর জলের পুঁটিমাছ,অল্প ধন/বিদ্যা নিয়ে বড়াইকারী লোক,"Big fish in a small pond', 'All hat and no cattle",,HIGH,False,bn-en,,
37,অগর-মগর করা,নানা অজুহাত দেখানো; কিছু করা বা না করার পক্ষে নানা অজুহাত/ওজর/যুক্তি দেখানো,"Beat around the bush', 'Hem and haw', 'Make excuses",,HIGH,False,bn-en,,
38,অগস্ত্যযাত্রা,"চিরদিনের জন্য প্রস্থান; শেষযাত্রা, যে-যাত্রায় বিদেশযাত্রী আর ঘরে ফিরে আসে না","One-way trip', 'Final journey', 'Journey to the great beyond",,HIGH,False,bn-en,,
39,অগা,"বিদ্রুপে নির্বোধ, অকর্মা বলে গালি; স্নেহযুক্ত তিরস্কারে অগাকান্ত ও অগারাম; তুচ্ছার্থক তিরস্কারে অগামারা","lazybones', 'good-for-nothing', 'numbskull",,HIGH,False,bn-en,,
40,অগাধ জল,চরম বিপদ,"in deep water', 'drowning in trouble",,HIGH,False,bn-en,,
41,অগাধ জলের মাছ,খুব চালাক লোক; সুচতুর ব্যক্তি; যার মনোভাব বোঝা যায় না,"Still waters run deep', 'A dark horse",,HIGH,False,bn-en,,
42,অগ্নি-অবতার,অতি ক্রুদ্ধব্যক্তি,"burning with rage', 'a raging inferno of anger",,HIGH,False,bn-en,,
43,অগ্নিকন্যা,অতিতেজস্বী নারী,"Spitfire', 'Firecracker (for a spirited or hot-tempered woman)",,HIGH,False,bn-en,,
44,অগ্নিকাণ্ড,বিষম অনর্থ; তুলকালামকাণ্ড; তুমুল ঝগড়াবিবাদ; প্রচণ্ড মারামারি,"all hell breaking loose', 'a firestorm', 'blow up",,HIGH,False,bn-en,,
45,অগ্নিগর্ভ,অত্যন্ত উত্তেজনাপূর্ণ; উত্তপ্ত,"powder keg', 'tinderbox",,HIGH,False,bn-en,,
46,অগ্নিচক্ষু,কঠোর দৃষ্টি,"look daggers at someone', 'fiery stare",,HIGH,False,bn-en,,
47,অগ্নিদাতা,হিন্দুদের মধ্যে যে মৃতের মুখাগ্নি করে,beast of burden,"A mindless person who toils continuously at others' behest; someone who performs arduous labor in unwelcome tasks; an indifferent, unquestioning drudge",MEDIUM,False,bn-en,0.4515284597873688,0.35451173782348633
48,অগ্নিপরীক্ষা,কঠিন পরীক্ষা; কঠিন পরিস্থিতির সম্মুখীন,"trial by fire', 'baptism of fire",,HIGH,False,bn-en,,
49,অগ্নিবর্ধক,ক্ষুধাবর্ধক; পরিপাকশক্তিবর্শক,"whet the appetite', 'appetizer",,HIGH,False,bn-en,,
50,অগ্নিবর্ষণ,ক্রোধপ্রকাশ,"breathing fire', 'raining fire and brimstone",,HIGH,False,bn-en,,
51,অগ্নিবল,ক্ষুধা,"fire in the belly', 'burning hunger",,HIGH,False,bn-en,,
52,অগ্নিবাণ,চরম আঘাত,"a bolt from the blue', 'a devastating strike",,HIGH,False,bn-en,,
53,অগ্নিবৃদ্ধি,ক্ষুধাবৃদ্ধি; পরিপাকশক্তি বৃদ্ধি,work up an appetite,,HIGH,False,bn-en,0.2191341072320938,0.35669469833374023
54,অগ্নিমান্দ্য,অক্ষুধা; অজীর্ণ রোগ; পরিপাকশক্তির অল্পতা; মন্দাগ্নি,"indigestion', 'weak stomach",,HIGH,False,bn-en,,
55,অগ্নিমূর্তি,অতিশয় ক্রুদ্ধ,"seeing red', 'burning with rage', 'like a fire-breathing dragon",,HIGH,False,bn-en,,
56,অগ্নিমূল্য,অত্যন্ত আক্রা; চড়াদাম,"Sky-high prices', 'Cost an arm and a leg",,HIGH,False,bn-en,,
57,অগ্নিযুগ,স্বদেশি আন্দোলনের সময়ের সশস্ত্র বিপ্লবের যুগ,"Era of Revolution', 'Age of Fire and Fury",,HIGH,False,bn-en,,
58,অগ্নিশর্মা,"অত্যন্ত কোপনস্বভাব-ব্যক্তি; ক্রুদ্ধ, ক্ষিপ্ত","firebrand', 'hot-tempered', 'powder keg",,HIGH,False,bn-en,,
59,অগ্নিসংস্কার,মন্ত্র পড়ে শবদাহ; মৃতদেহ সৎকার,"last rites', 'funeral pyre",,HIGH,False,bn-en,,
60,অগ্নিসাক্ষী,আগুন ছুঁয়ে বা আগুনকে সাক্ষী রেখে শপথ,"Swear on one's life"", 'Cross my heart and hope to die",,HIGH,False,bn-en,,
61,অগ্নিসেবন,আগুনের তাপ উপভোগ,"Basking by the fireside', 'Toasting oneself by the fire",,HIGH,False,bn-en,,
62,অগ্নিতে ঘৃতাহূতি,উত্তেজনা/ক্রোধবৃদ্ধি,"add fuel to the fire', 'pour oil on troubled waters (intensifying version)",,HIGH,False,bn-en,,
63,অগ্নিতে বারিবর্ষণ,উত্তেজনা বা ক্রোধ হ্রাস; রাগ স্থির হওয়া,"Pour water on the fire', 'Douse the flames of anger",,HIGH,False,bn-en,,
64,অগ্রদানী,হিন্দুদের শ্রাদ্ধে প্রেতের উদ্দেশ্যে প্রদত্ত তিলদান গ্রহণকারী পতিতব্রাহ্মণ,funeral offerings,The Hindu ritual performed for the satisfaction of the departed soul; food and drink offered to the spirit during shraddha ceremony,MEDIUM,False,bn-en,0.17140763998031616,0.30894410610198975
65,অগ্রদূত,পথপ্রদর্শক,"trailblazer', 'vanguard",,HIGH,False,bn-en,,
66,অগ্রপশ্চাৎ,অগ্রপশ্চাৎ বিবেচনা না করে কাজ করলে ফল ভালো হয় না,"Look before you leap', 'Count the cost",,HIGH,False,bn-en,,
67,অগ্রপশ্চাত্,ভূত-ভবিষ্যৎ,"past and future', 'from beginning to end",,HIGH,False,bn-en,,
68,অগ্রপাণি,আঙুল; ডানহাত,"Right-hand man', 'Helping hand",,HIGH,False,bn-en,,
69,অঘটন ঘটন পটিয়সী,অসাধ্য সাধনে বা অকাজে পটু নারী; মায়া,"Master of illusion', 'Weaver of dreams",,HIGH,False,bn-en,,
70,অঘা,বিদ্রুপে নির্বোধ; অকর্মা গালিবিশেষ; তিরস্কার করতে ব্যবহৃত হয়,"silly goose', 'nitwit', 'you lazy bum",,HIGH,False,bn-en,,
71,অঙ্কলক্ষ্মী,পত্নী; স্ত্রী,"better half', 'the missus",,HIGH,False,bn-en,,
72,অঙ্কুরে বিনষ্ট,শুরুতেই নাশ/বিনাশ,nipped in the bud,,HIGH,False,bn-en,0.5327876806259155,0.6545119285583496
73,অঙ্কুরোদ্গম,কোন কিছুর সূত্রপাত,"In its infancy', 'The seed of an idea', 'Germination of a plan",,HIGH,False,bn-en,,
74,অঙ্কুশ তাড়না,গোপনে বা ভিতর থেকে তাড়না,"goading from behind', 'invisible hand pushing",,HIGH,False,bn-en,,
75,অঙ্কস্থ,আয়ত্ব; হস্তগত,In one's pocket,,HIGH,False,bn-en,0.3958642780780792,0.33213573694229126
76,অঙ্কস্থ,আয়ত্ব; হস্তগত,Under one's control,,HIGH,False,bn-en,0.40547630190849304,0.2703752815723419
77,অঙ্গ জল হওয়া,ভয় পাওয়া,"legs turning to jelly', 'weak in the knees",,HIGH,False,bn-en,,
78,অঙ্গ জ্বালা,অসন্তোষ; বিরক্তি,gets on one's nerves,,HIGH,False,bn-en,0.45191964507102966,0.35814183950424194
79,অঙ্গ জ্বালা,অসন্তোষ; বিরক্তি,makes one's skin crawl,,HIGH,False,bn-en,0.5785181522369385,0.38094502687454224
80,অঙ্গুলিত্রান,সতর্কতামূলক ব্যবস্থা গ্রহণ করা,"Better safe than sorry', 'An ounce of prevention is worth a pound of cure",,HIGH,False,bn-en,,
81,অঙ্গুলি নির্দেশ,আঙ্গুলের ইসারা; আঙ্গুলের নির্দেশ,"Point the finger at', ""Put one's finger on",,HIGH,False,bn-en,,
82,অচল পয়সা,অকেজো; কোন কাজের নয়; কোন দাম নেই; মূল্যহীন,"not worth a dime', 'dead money', 'not worth a plug nickel",,HIGH,False,bn-en,,
83,অচলায়তন,প্রগতিবর্জিত ও গোঁড়ামিপূর্ণ প্রতিষ্ঠান,"stuck in the mud', 'fossilized organization",,HIGH,False,bn-en,,
84,অচিনপাখি,প্রাণ/প্রাণবায়ু,"breath of life', 'vital spark",,HIGH,False,bn-en,,
85,অচন্দ্রচেতন,যৌনচেতনাশূন্য,"Pure as the driven snow', 'Innocent in matters of the flesh",,HIGH,False,bn-en,,
86,অজগরবৃত্তি,আলসেমি; এক জায়গায় স্থির থেকে যা পাওয়া যায় তাতেই জীবনধারণ করা,"couch potato lifestyle', 'bone-idle existence",,HIGH,False,bn-en,,
87,অজগ্রাম,নিতান্ত অপরিচিত ক্ষুদ্রপল্লী,"middle of nowhere', 'back of beyond', 'boondocks",,HIGH,False,bn-en,,
88,অজমূর্খ,আকাট বা নিরেট বোকা বা মূর্খ,"complete idiot', 'absolute fool",,HIGH,False,bn-en,,
89,অজাতশত্রু,যার শত্রু নাই; যার শত্রু জন্মায়নি; যে শত্রুতা করে না,"Without an enemy in the world', 'Harmless as a dove",,HIGH,False,bn-en,,
90,অজাতশ্মশ্রু,যার গোঁফদাড়ি জন্মায়নি; অপ্রাপ্তবয়স্ক বা অল্পবয়স্ক,"Wet behind the ears', 'Callow youth",,HIGH,False,bn-en,,
91,অজা যুদ্ধ,যেখানে লড়াই থেকে আস্ফালন বেশি; যেকাজে আড়ম্বর বেশি ফললাভ সামান্য,"much ado about nothing', 'all bark and no bite",,HIGH,False,bn-en,,
92,অজাযুদ্ধ,"ঋষিদের শ্রাদ্ধানুষ্ঠান, যেখানে কলাপাতা বিছানো হলেও আহার্য্য পরিবেশন করা হয় না","going through the motions', 'empty ritual', 'all show and no substance",,HIGH,False,bn-en,,
93,অজুহাত,ওজর আপত্তি; কারণনির্দেশ; বাহানা,"make excuses', 'find a pretext', 'cop-out",,HIGH,False,bn-en,,
94,অজ্ঞাতকুলশীল,যার বংশপরিচয় বা স্বভাবসম্পর্কে কিছু জানা নেই; সম্পূর্ণ অপরিচিত,"stranger in a strange land', 'unknown quantity",,HIGH,False,bn-en,,
95,অঞ্চলনিধি,অত্যন্ত প্রিয়বোধে যা আঞ্চলের নীচে ঢেকে রাখা হয়; স্বামী বা সন্তান; মূলতঃ আদরের পুত্রসন্তান,apple of one's eye,,HIGH,False,bn-en,0.37310871481895447,0.20598649978637695
96,অঞ্চলপ্রভাব,স্বামীর উপর স্ত্রীর প্রভাব/প্রভুত্ব; স্ত্রীর একান্ত অনুগত,"henpecked', 'under the thumb', 'whipped by wife",,HIGH,False,bn-en,,
97,অতঃকিম,কিংকর্তব্যবিমূঢ় অবস্থা,"What now?', 'At a loss', ""What's next?",,HIGH,False,bn-en,,
98,অতশত,খুঁটিনাটি; নানাবিধ বিষয়,"odds and ends', 'this and that', 'bits and pieces",,HIGH,False,bn-en,,
99,অতিকথায় বার্তা নষ্ট,বাকচাতুর্যে মূলবক্তব্য হারিয়ে যায়,"Beat around the bush', 'All talk and no action",,HIGH,False,bn-en,,
100,অতিগর্জনে ফোঁটাবৃষ্টি,হাঁকডাকওয়ালারা কাজের বেলায় অষ্টরম্ভা,"Much ado about nothing', 'All bark and no bite",,HIGH,False,bn-en,,
101,অতিঘরন্তি,গৃহকর্মনিপুণা কুমারী মেয়ে,"a perfect homemaker', 'domestic goddess",,HIGH,False,bn-en,,
102,অতি চালাকের গলায় দড়ি,বেশি চালাকির পরিণাম অশুভ হয়,"Hoist with one's own petard"", 'Outsmart oneself', 'Too clever by half",,HIGH,False,bn-en,,
103,অতিদর্পে হত লঙ্কা,অহঙ্কারে পতন অনিবার্য,"Pride comes before a fall', 'Hubris leads to downfall",,HIGH,False,bn-en,,
104,অতিভক্তি চোরের লক্ষণ,ভক্তির আতিশয্যে গোপন উদ্দেশ্য প্রচ্ছন্ন থাকে,"The lady doth protest too much', 'Overfamiliarity breeds contempt",,HIGH,False,bn-en,,
105,অতিলোভে তাঁতী নষ্ট,অতিরিক্ত লোভে সম্পূর্ণ ক্ষতি হয়,"Greed is the root of all evil', 'The goose that lays the golden eggs (killing the source out of greed)",,HIGH,False,bn-en,,
106,অথৈ জল,চরম সংকট; ভীষণ বিপদ,"in deep water', 'dire straits', 'up the creek without a paddle",,HIGH,False,bn-en,,
107,অথৈ জলের মাছ,সুচতুর ব্যক্তি; চাপা স্বভাবের লোক,"Still waters run deep', 'Deep as the ocean",,HIGH,False,bn-en,,
108,অদল-বদল,তুল্যবিষয়ের পরিবর্তন,"tit for tat', 'swap places', 'mere shuffling",,HIGH,False,bn-en,,
109,অদানে অব্রাহ্মণে,সৎ বা সার্থক কাজে নয়; সাধারণত বাজে কাজে অর্থ ও পরিশ্রম ব্যয় সম্পর্কে প্রযোজ্য হয়,"Throwing money down the drain', 'Pearls before swine",,HIGH,False,bn-en,,
110,অদিনে অক্ষণে,শুভ বা প্রশস্ত দিন বা সময় নয়; খুবই দুর্দিনে এবং কুক্ষণে,"at an inopportune moment', 'in the worst possible time",,HIGH,False,bn-en,,
111,অদৃষ্টের কিল,ভাগ্যবিপর্যয়; ভাগ্যের মার; কপালের ফের; গ্রহের ফের; বিধির বিড়ম্বনা,"stroke of bad luck', ""fate's cruel blow"", ""Murphy's law",,HIGH,False,bn-en,,
112,অধঃপাতে যাওয়া,উচ্ছন্নে যাওয়া; কুসংসর্গে নষ্ট হওয়া; দুশ্চরিত্র হওয়া,"Go to the dogs', 'Go downhill', 'Fall from grace",,HIGH,False,bn-en,,
113,অধমাধম,অধমেরও অধম; অত্যন্ত নিকৃষ্ট/নীচ,"The lowest of the low', 'Scum of the earth', 'Bottom of the barrel",,HIGH,False,bn-en,,
114,অধিকগর্জনে অল্পবর্ষণ,বেশি গর্জন বা হুমকির পর অল্প কাজ বা ফলাফল,"All bark and no bite', 'Much ado about nothing', 'All thunder and no rain",,HIGH,False,bn-en,,
115,অধিক সন্ন্যাসীতে গাজন নষ্ট,অবাঞ্ছিত বহুব্যক্তির সমাবেশে মতভেদজনিত কারণে সমস্ত কাজকর্ম পণ্ড,Too many cooks spoil the broth,,HIGH,False,bn-en,0.36587679386138916,0.45785459876060486
116,অধিবাস,পূজা বিয়ে ইত্যাদির আগে পালনীয় সংস্কারবিশেষ,dumb beast,"Monkey-like creatures; animals whose hands and feet resemble human hands; used as a special insult similar to calling someone a donkey, cow, or goat",MEDIUM,False,bn-en,0.35452526807785034,0.2713533639907837
117,অধিবিন্না,দ্বিতীয়বার বিবাহিত পুরুষের জীবিত প্রথমাপত্নী,bigamist,A man seeking a second marriage even though his first wife is still alive,MEDIUM,False,bn-en,0.752485990524292,0.4580574631690979
118,অধিবেত্তা,প্রথমস্ত্রী জীবিত থাকা সত্বেও তার বন্ধ্যাদোষহেতু দ্বিতীয়বার বিবাহকারী পুরুষ,bigamist,A man seeking a second marriage even though his first wife is still alive,MEDIUM,False,bn-en,0.8588310480117798,0.5180409550666809
119,অধিমাস,"অতিরিক্ত চান্দ্রমাস, যে মাসে দুটি অমাবস্যা পড়ে","intercalary month', 'adhik maas",,HIGH,False,bn-en,,
120,অনন্তনিদ্রা,চিরনিদ্রা; মৃত্যু,"eternal sleep', 'the big sleep",,HIGH,False,bn-en,,
121,অনন্তবালা,হাতে পরার অলঙ্কারবিশেষ,hoop earrings,a special ear ornament shaped like a bangle,MEDIUM,False,bn-en,0.3372657299041748,0.2397007942199707
122,অনন্তরূপিণী,নানারূপধারিণী,"multifaceted', 'protean",,HIGH,False,bn-en,,
123,অনন্তশয্যা,বিষ্ণুর অনন্তনাগ শয্যা,"eternal rest', 'cosmic slumber",,HIGH,False,bn-en,,
124,অনন্তশয়ন,চিরনিদ্রা; মৃত্যু,"Eternal sleep', 'Rest in peace', 'The big sleep",,HIGH,False,bn-en,,
125,অনভ্যাসের ফোঁটা,আচমকা সৌভাগ্যের অস্বস্তি,"out of one's element"", 'unaccustomed to luxury",,HIGH,False,bn-en,,
126,অনলে জল ঢালা,উত্তেজনা হ্রাস; রাগ স্তিমিত,"Pour cold water on something', 'Throw cold water on enthusiasm",,HIGH,False,bn-en,,
127,অনাগতবিধাতা,আগাম উদ্যোগকারী; ভবিষ্যতের জন্য সংস্থানকারী; ভাবি অনিষ্টের প্রতিকারক; যে পরিণামের চিন্তায় আগাম ব্যবস্থা গ্রহণ করে বা প্রস্তুত থাকে,"Forewarned is forearmed', 'Look before you leap', 'An ounce of prevention is worth a pound of cure",,HIGH,False,bn-en,,
128,অনাথের দৈব সখা,স্বয়ং ঈশ্বর অনাথকে রক্ষা করেন,"God helps those who help themselves', 'Heaven protects children and fools",,HIGH,False,bn-en,,
129,অনাথের নাথ,ঈশ্বর,"Providence', 'Guardian Angel",,HIGH,False,bn-en,,
130,অনামিকা,কড়ে আঙুলের পাশের নামছাড়া চতুর্থ আঙুল; আংটি আঙুল,ring finger,,HIGH,False,bn-en,0.285639226436615,0.4051843285560608
131,অনামুখো,কুৎসিত ব্যক্তি; যার মুখ দেখলে অমঙ্গল হয়,"ugly as sin', 'face that could stop a clock",,HIGH,False,bn-en,,
132,অনাসৃষ্টি,অদ্ভূত; কুৎসিত; সৃষ্টিছাড়া,"freak of nature', 'monstrosity",,HIGH,False,bn-en,,
133,অনাহারী,ব্যঙ্গে অবৈতনিক; কাজ করে কিন্তু বেতন পায় না,"unpaid labor', 'working for free",,HIGH,False,bn-en,,
134,অনিষ্ট হতে ইষ্টলাভ,মন্দঘটনা থেকে ভালো ঘটনার উৎপত্তি; সমতুল্য- শাপে বর; অহিতে বিপরীত,"Blessing in disguise', 'Every cloud has a silver lining', 'Turn lemons into lemonade",,HIGH,False,bn-en,,
135,অনুপান,ঔষধের সাথে বা পরে পান করা মিষ্টিরস,Chaser (in medicinal context),,HIGH,False,bn-en,0.42044979333877563,0.09116897732019424
136,অনুরোধে ঢেঁকি গিলা,অনুরোধ এড়াতে না পেরে অনিচ্ছা সত্ত্বেও কোনো কাজ করা,"Bite the bullet', 'Swallow a bitter pill",,HIGH,False,bn-en,,
137,অনুরোধে ঢেঁকি গেলা,অনুরোধে দুরূহ কাজ করতে সম্মত হওয়া,"go the extra mile', 'bend over backwards",,HIGH,False,bn-en,,
138,অনুলোম বিবাহ,উচ্চবর্ণের পাত্রের সাথে নীচবর্ণের পাত্রীর বিয়ে,"Marrying down', 'Hypogamy",,HIGH,False,bn-en,,
139,অনেক কাঠখড় পুড়িয়ে,বহু চেষ্টা ও পরিশ্রম করে,"burning the midnight oil', 'jumping through hoops",,HIGH,False,bn-en,,
140,অনেক জলের মাছ,অত্যন্ত চালাক; চালচলন টের পাওয়া যায় না এমন সুচতুর ব্যক্তি,"Slippery as an eel', 'A sly fox",,HIGH,False,bn-en,,
141,অনেক সন্ন্যাসীতে গাজন নষ্ট,বহুজনের কর্তৃত্ব থাকলে অনুষ্ঠানে কাজের থেকে অকাজ বেশি হয়; ফলে কাজকর্মে বিশৃঙ্খলা দেখা দেয়,Too many cooks spoil the broth,,HIGH,False,bn-en,0.4549887776374817,0.5943819284439087
142,অন্তর টিপুনি,গোপন ব্যথা; অন্যের অজ্ঞাতে কারো মনে গোপনে আঘাত,"a hidden sorrow', 'inner turmoil",,HIGH,False,bn-en,,
143,অন্তরাত্মা,বিবেক,"prick of conscience', 'inner voice",,HIGH,False,bn-en,,
144,অন্তর্জলি,পারলৌকিক মঙ্গলের জন্য হিন্দুমুমূর্ষুর নিম্নাঙ্গ গঙ্গাজলে নিমজ্জন,"Baptism in holy waters', 'Ritual dipping for purification",,HIGH,False,bn-en,,
145,অন্তর্জলি যাত্রা,অন্তিমকাল শুরু; পতন বা মৃত্যু আসন্ন,"The beginning of the end', 'On the brink of doom', ""Counting one's last days",,HIGH,False,bn-en,,
146,অন্তর্দাহ,ঈর্ষাজনিত কারণে গাত্রদাহ,"burning with jealousy', 'green with envy",,HIGH,False,bn-en,,
147,অন্তিমদশা,মরণকাল; মুমূর্ষু অবস্থা,"on one's deathbed"", 'final moments', 'last breath",,HIGH,False,bn-en,,
148,অন্ধ ও খোঁড়ার পথ চলা,অন্ধের সাহায্যে খোঁড়ার পথ চলা,"The blind leading the blind', 'Like the pot calling the kettle black",,HIGH,False,bn-en,,
149,অন্ধকার দেখা,বিপদের আশঙ্কায় বা ভয়ে ও ভাবনায় দিশেহারা হওয়া,"to see stars (from shock or fear)', ""to be scared out of one's wits",,HIGH,False,bn-en,,
150,অন্ধকার দেখানো,বিপদে ফেলে অভিভূত করা,"to paint a bleak picture', 'to throw someone into the dark",,HIGH,False,bn-en,,
151,অন্ধকারে উকুন বাছা,যে কাজ করা কোনমতে সম্ভব নয়,"Finding a needle in a haystack', 'Mission impossible', 'Like herding cats",,HIGH,False,bn-en,,
152,অন্ধকারে কালো বিড়াল খোঁজা,বৃথা বা অসম্ভব প্রচেষ্টা,"Looking for a needle in a haystack', 'Searching for a black cat in a dark room",,HIGH,False,bn-en,,
153,অন্ধকারে ঢিল ছোঁড়া,কার্যসিদ্ধি হতে পারে এই আশায় অনিশ্চয়তা সত্বেও কিছু করা,A shot in the dark,,HIGH,False,bn-en,0.601469099521637,0.7919064164161682
154,অন্ধকারে থাকা,কিছু না জানা; কোন বিষয়ে সম্পূর্ণ অজ্ঞ বা অনভিহিত থাকা,"In the dark', 'Clueless', 'Out of the loop",,HIGH,False,bn-en,,
155,অন্ধকারে হাতড়ানো,চোখে দেখতে না পাওয়ায় হাতের স্পর্শ দিয়ে অনুমান করা; অনুমানে,"Groping in the dark', 'Shooting in the dark', 'Flying blind",,HIGH,False,bn-en,,
156,অন্ধকূপ,নিবিড় অন্ধকারময় অপরিসর কক্ষ,"black hole', 'dungeon of despair",,HIGH,False,bn-en,,
157,অন্ধকে দর্পণ দেখানো,মূর্খকে জ্ঞানদান,"Casting pearls before swine', 'Preaching to the deaf",,HIGH,False,bn-en,,
158,অন্ধগোলাঙ্গুলন্যায়,মুর্খের উপদেশে গরুর লেজ ধরে চলতে দিয়ে এক অন্ধের যেরকম দুর্দশা হয়েছিল সেইরকম,"The blind leading the blind', 'Out of the frying pan into the fire",,HIGH,False,bn-en,,
