idiom_en,meaning_en,literal_en,sentence_en
Eyes bigger than one's stomach,Someone whose eyes are dazzled by the variety of items in the market and cannot decide what to buy,,
Make do with what you have,Managing to complete a task somehow even without obtaining the necessary items,,
Improvise in a pinch,Managing to complete a task somehow even without obtaining the necessary items,,
Far and wide,"Everywhere, among the common people",,
All over the place,"Everywhere, among the common people",,
Public domain,"Everywhere, among the common people",,
Let the cat out of the bag,Revealing a secret,,
When pigs fly,An impossible affair,,
A snowball's chance in hell,An impossible affair,,
Toe to toe,Intense / evenly matched,,
Blow for blow,Intense / evenly matched,,
Skin and bones,Extremely thin or emaciated,,
Bag of bones,Extremely thin or emaciated,,
beat to a pulp,To beat someone severely so that bones and flesh separate,,
beat within an inch of one's life,To beat someone severely so that bones and flesh separate,,
In cahoots,"United or allied, often for self-interest",,
Band together,"United or allied, often for self-interest",,
United front,"United or allied, often for self-interest",,
blunt instrument,"An extremely blunt yet heavy weapon; its weight breaks bones, but lack of sharpness prevents it from cutting flesh",,
sledgehammer approach,"An extremely blunt yet heavy weapon; its weight breaks bones, but lack of sharpness prevents it from cutting flesh",,
To be put through the wringer,To suffer extreme hardship or sorrow,,
To suffer to the marrow of one's bones,To suffer extreme hardship or sorrow,,
Worked to the bone,To become extremely exhausted from overwork; to become lifeless due to excessive labor,,
Bone-tired,To become extremely exhausted from overwork; to become lifeless due to excessive labor,,
Dead on one's feet,To become extremely exhausted from overwork; to become lifeless due to excessive labor,,
Tight-fisted,Extremely miserly or stingy without measure,,
Penny-pincher,Extremely miserly or stingy without measure,,
Skinflint,Extremely miserly or stingy without measure,,
lanky,"A person with a tall, skinny, and lanky physique",,
beanpole,"A person with a tall, skinny, and lanky physique",,
Break every bone,"To render immobile by beating severely, to thrash brutally",,
Beat the living daylights out of someone,"To render immobile by beating severely, to thrash brutally",,
break every bone in your body,every small and large bone and joint in the body,,
Break every bone in one's body,To render someone immobile or incapacitated by severe beating,,
Leave for dead,To render someone immobile or incapacitated by severe beating,,
A sigh of relief,To gain relief or feel comforted,,
A weight lifted off one's shoulders,To gain relief or feel comforted,,
a glimpse,A sight or view that remains in front of the eyes for a very short time,,
fleeting glance,A sight or view that remains in front of the eyes for a very short time,,
in a flash,A sight or view that remains in front of the eyes for a very short time,,
Get on one's nerves,"To extremely annoy, irritate, or torment someone",,
Drive someone up the wall,"To extremely annoy, irritate, or torment someone",,
Rub the wrong way,"To extremely annoy, irritate, or torment someone",,
drive someone crazy,"Extremely annoying, irritating, or tormenting",,
a pain in the neck,"Extremely annoying, irritating, or tormenting",,
Street-smart,"Shrewd, cunning, or highly skilled in trickery and experience",,
Cunning as a fox,"Shrewd, cunning, or highly skilled in trickery and experience",,
Old hand,"Shrewd, cunning, or highly skilled in trickery and experience",,
Skinny as a rail,Extremely thin or emaciated,,
Back-breaking work,Arduous task or heavy burden,,
Heavy load to bear,Arduous task or heavy burden,,
Bad to the bone,"A person of extremely mischievous or wicked nature, inherently bad",,
Rotten to the core,"A person of extremely mischievous or wicked nature, inherently bad",,
Bone-tiring labor,Arduous or back-breaking labor,,
a flock,a group or flock,,
a swarm,a group or flock,,
a bunch,a group or flock,,
Beat black and blue,A person beaten mercilessly,,
all thumbs,completely incompetent or dejected,,
down in the dumps,completely incompetent or dejected,,
To be in hot water,To be in extreme distress or severe trouble,,
To suffer terribly,To be in extreme distress or severe trouble,,
Work one's fingers to the bone,To exhaust one's life through excessive labor; to work extremely hard,,
Break one's back,To exhaust one's life through excessive labor; to work extremely hard,,
Beat the living daylights out of,To beat someone severely or brutally,,
Give a sound thrashing,To beat someone severely or brutally,,
Joined at the hip,Inseparable; cannot be separated,,
Flesh and blood,Inseparable; cannot be separated,,
Know someone inside out,All secrets; every detail,,
Have the dirt on someone,All secrets; every detail,,
Flat broke,"Utterly unfortunate, completely destitute, forsaken by fortune",,
Rock bottom in poverty,"Utterly unfortunate, completely destitute, forsaken by fortune",,
Of the same ilk,People of one group or one kind,,
Chips off the old block,People of one group or one kind,,
Bone-chilling cold,Extreme or bone-chilling cold weather,,
Freezing to the bone,Extreme or bone-chilling cold weather,,
To put one's head on the block,To voluntarily embrace death,,
To court death,To voluntarily embrace death,,
Stick one's neck out,To face certain or inevitable danger,,
Walk into the lion's den,To face certain or inevitable danger,,
fuming mad,Extremely angry; deeply irritated,,
boiling with rage,Extremely angry; deeply irritated,,
Letting the grass grow under one's feet,A sign of extreme laziness or utter indolence,,
Giving someone hell,Tormenting or harassing relentlessly from all sides in various ways,,
Rubbing salt in the wounds,Tormenting or harassing relentlessly from all sides in various ways,,
Driving someone up the wall,Tormenting or harassing relentlessly from all sides in various ways,,
breathe a sigh of relief,to feel relief or comfort,,
a weight off one's shoulders,to feel relief or comfort,,
Old dogs can learn new tricks,To accomplish the impossible or perform astonishing feats in old age,,
To defy the odds in one's later years,To accomplish the impossible or perform astonishing feats in old age,,
Getting on one's nerves,Extremely irritating or annoying,,
thick as thieves,Involved in an inseparable or unbreakable relationship,,
blood brothers,Involved in an inseparable or unbreakable relationship,,
Just one,Singular or one in number (one is sufficient),,
One and only,Singular or one in number (one is sufficient),,
through and through,"completely, entirely, to the core or bone-deep",,
to the bone,"completely, entirely, to the core or bone-deep",,
root and branch,"completely, entirely, to the core or bone-deep",,
Feel it in one's bones,To feel or realize deeply in one's core,,
Hit home deeply,To feel or realize deeply in one's core,,
Get the hang of it,To become accustomed or proficient at something,,
Come naturally,To become accustomed or proficient at something,,
to have a generous hand,to have the habit of giving or donating,,
to be open-handed,to have the habit of giving or donating,,
throw in the towel,to be defeated or to give up,,
wave the white flag,to be defeated or to give up,,
Raise one's hand to someone,Poised to strike or assault,,
With fists raised,Poised to strike or assault,,
Raise one's hand,To raise one's hand in support or agreement,,
Hands up for support,To raise one's hand in support or agreement,,
slip through one's fingers,to slip out of one's control or jurisdiction,,
out of one's hands,to slip out of one's control or jurisdiction,,
Beg with folded hands,To beg or pray in a very humble or pitiable manner,,
Plead desperately,To beg or pray in a very humble or pitiable manner,,
in handcuffs,to be arrested or caught for a crime,,
behind bars,to be arrested or caught for a crime,,
caught red-handed,to be arrested or caught for a crime,,
a certain one,An indefinite or unspecified one,,
something,An indefinite or unspecified one,,
To have someone in one's pocket,"To exercise authority over, to subdue; to bring under control or keep under control, to bring to one's own side",,
To bring to heel,"To exercise authority over, to subdue; to bring under control or keep under control, to bring to one's own side",,
To buy off,"To exercise authority over, to subdue; to bring under control or keep under control, to bring to one's own side",,
get one's hands on,to acquire or obtain,,
lay hands on,to acquire or obtain,,
Handshake deal,Unwritten or undocumented loan,,
Gentleman's agreement,Unwritten or undocumented loan,,
clip one's wings,To remove from power; to deprive of the right to work independently,,
cut the ground from under one's feet,To remove from power; to deprive of the right to work independently,,
short-sleeved,Garment with sleeves extending from the collar to the elbow or completely sleeveless attire,,
sleeveless,Garment with sleeves extending from the collar to the elbow or completely sleeveless attire,,
turn a deaf ear,to deny or refuse to acknowledge,,
cover one's ears,to deny or refuse to acknowledge,,
To raise an objection,To protest or object,,
To voice dissent,To protest or object,,
Can't believe one's ears,To express astonishment or surprise,,
Hand to mouth in shock,To express astonishment or surprise,,
Wet behind the ears,One whose mustache and beard have not grown; immature or of young age,,
Callow youth,One whose mustache and beard have not grown; immature or of young age,,
One in particular,A specific one,,
to gnash one's teeth,"regret, remorse, sorrow",,
to wring one's hands in despair,"regret, remorse, sorrow",,
Get one's hands dirty,To tarnish or sully one's reputation or hands,,
Have ink on one's hands,To tarnish or sully one's reputation or hands,,
Cut off one's nose to spite one's face,To ruin one's own means of remedy or solution,,
Shoot oneself in the foot,To ruin one's own means of remedy or solution,,
To throw in the towel,To become weak or defeated,,
To give up the ghost,To become weak or defeated,,
pocket money,Personal petty expenses; pocket money kept on hand for buying daily necessities,,
spending money,Personal petty expenses; pocket money kept on hand for buying daily necessities,,
petty cash,Personal petty expenses; pocket money kept on hand for buying daily necessities,,
Broke,"No money in hand, empty-handed",,
Penniless,"No money in hand, empty-handed",,
Empty-handed,"No money in hand, empty-handed",,
Open-handed,Generous in spending; spendthrift,,
Free with money,Generous in spending; spendthrift,,
Free-handed,"Generous donor, charitable person",,
Wash one's hands of something,To withdraw or retire; to refrain from getting involved,,
Step back from involvement,To withdraw or retire; to refrain from getting involved,,
Palm reading,To read palm lines to predict or judge one's fate,,
Read one's palm,To read palm lines to predict or judge one's fate,,
Something's fishy,"Unknown but not non-existent; unidentified, but present",,
There's something up,"Unknown but not non-existent; unidentified, but present",,
Beat someone up,To beat or strike someone,,
Throw punches,To beat or strike someone,,
Make short work of something,To complete work quickly,,
Get cracking,To complete work quickly,,
come to blows,to fight or beat someone up,,
receipt,"a small note, receipt, or acknowledgment slip",,
IOU,"a small note, receipt, or acknowledgment slip",,
Itchy hands,Expressing eagerness; hands fidgeting to do something,,
Hands itching to do something,Expressing eagerness; hands fidgeting to do something,,
Itchy palm (expecting money),A common belief indicating the arrival of money or impending expenditure,,
Money burning a hole in one's pocket (urge to spend),A common belief indicating the arrival of money or impending expenditure,,
out of hand,"dispossessed of rights, evicted, lost; slipped from hand, out of control or reach",,
lose one's grip,"dispossessed of rights, evicted, lost; slipped from hand, out of control or reach",,
A bird in the hand is worth two in the bush,"Once lost, it is difficult to regain a right or opportunity",,
Don't count your chickens before they hatch,"Once lost, it is difficult to regain a right or opportunity",,
beckon with the hand,Signaling or gesturing by waving the hand,,
wave someone over,Signaling or gesturing by waving the hand,,
Do something,To do something convenient or any activity rather than remaining idle,,
Get a life,To do something convenient or any activity rather than remaining idle,,
out of one's reach,difficulty in grasping or attaining something out of reach,,
biting off more than one can chew,difficulty in grasping or attaining something out of reach,,
Out of one's league,The task is bigger than one's capacity or power,,
Hands full,To have no leisure; to be engaged in work; to have tasks at hand,,
Up to one's neck in work,To have no leisure; to be engaged in work; to have tasks at hand,,
Busy as a bee,To have no leisure; to be engaged in work; to have tasks at hand,,
A pittance from the rich is a fortune to the poor,Abundance of wealth; A small donation from a rich person seems plentiful to the recipient,,
hard up,financial scarcity or lack of money,,
short on cash,financial scarcity or lack of money,,
Penny-pinching,"Stinginess; miserliness, miser",,
Sticky fingers,Habit of stealing or pilfering,,
Light-fingered,Habit of stealing or pilfering,,
Raise a hand against someone,To raise one's hand to strike or beat someone,,
Lay a hand on someone,To raise one's hand to strike or beat someone,,
show of hands,to raise one's hand in support,,
a couple,a few,,
one or two,a few,,
a handful,a few,,
At the mercy of others,Dependent on the mercy or favor of others,,
Living hand to mouth,Dependent on the mercy or favor of others,,
holding onto money like a miser,miserly or stingy nature,,
David slaying Goliath,Accomplishing a monumental task with minimal means,,
Moving mountains with a mustard seed,Accomplishing a monumental task with minimal means,,
lay a hand on,to touch,,
put one's hands on,to touch,,
to get one's hands dirty,to start a task or work,,
to put one's hand to the plow,to start a task or work,,
Take someone's pulse,To check the pulse,,
Feel the pulse,To check the pulse,,
to beg,to request or plead,,
to implore,to request or plead,,
Lend a hand,To provide help in times of distress,,
Stand by someone,To provide help in times of distress,,
non-stop,uninterrupted; continuous without break,,
without a break,uninterrupted; continuous without break,,
back-to-back,uninterrupted; continuous without break,,
Licking one's chops,Being overly eager or hasty to eat at an invited gathering or feast,,
Raring to tuck in,Being overly eager or hasty to eat at an invited gathering or feast,,
Playing the saint,Pretending to be a saint or pious person,,
Holier-than-thou attitude,Pretending to be a saint or pious person,,
wave one's hand,to signal or gesture,,
give a signal,to signal or gesture,,
Wag one's finger,To scold or threaten by pointing or wagging one's finger,,
Shake one's fist,To scold or threaten by pointing or wagging one's finger,,
Rub one's hands together,To become eager or impatient to do something,,
Itch to get started,To become eager or impatient to do something,,
Rub one's hands in anticipation,Eagerness to beat or hit someone,,
Itching for a fight,Eagerness to beat or hit someone,,
handy helper,A boy who is capable of helping with tasks and chores,,
go-getter,A boy who is capable of helping with tasks and chores,,
Roll up one's sleeves,To start working or begin a task,,
Get down to business,To start working or begin a task,,
Get one's hands on something,To start using or utilizing something,,
one thing after another,One after another; no end,,
never-ending excuses,One after another; no end,,
seasoned professional,skilled or experienced,,
Get the hang of something,To acquire proficiency or skill through practice,,
Hone one's skills,To acquire proficiency or skill through practice,,
beat someone black and blue,"Beating someone simultaneously with hands and feet, including slaps, punches, and kicks",,
pummel with fists and feet,"Beating someone simultaneously with hands and feet, including slaps, punches, and kicks",,
Go limp,To become motionless or give up resistance,,
At death's door,A state of being near death or moribund condition,,
Giving up the ghost,A state of being near death or moribund condition,,
give up the ghost,to become despondent or give up hope,,
Break out in a cold sweat,To become extremely frightened,,
Frozen with fear,To become extremely frightened,,
Legs turning to jelly,To become extremely frightened,,
The end is near,Death is imminent,,
Death is at the door,Death is imminent,,
to have one's hand out,to take or accept a bribe,,
to grease someone's palm,to take or accept a bribe,,
To beg for alms,To become a petitioner or beg for something,,
To hold out one's hand,To become a petitioner or beg for something,,
a bit,a little here and there; approximately; somewhat; vaguely; in small quantities,,
somewhat,a little here and there; approximately; somewhat; vaguely; in small quantities,,
here and there,a little here and there; approximately; somewhat; vaguely; in small quantities,,
a smattering,a little here and there; approximately; somewhat; vaguely; in small quantities,,
Paralyzed with fear,To feel extremely frightened and helpless,,
Frozen in terror,To feel extremely frightened and helpless,,
Legs turned to jelly,To feel extremely frightened and helpless,,
Scared stiff,To be extremely terrified or paralyzed with fear,,
Shaking in one's boots,To be extremely terrified or paralyzed with fear,,
Hands are tied,"Helpless, powerless, or unable to act",,
Bound hand and foot,"Helpless, powerless, or unable to act",,
Tied up in knots,"Helpless, powerless, or unable to act",,
Throwing to the wolves,Throwing someone into dire peril by blocking all paths to escape or salvation,,
Like a lamb to the slaughter,Throwing someone into dire peril by blocking all paths to escape or salvation,,
Throwing under the bus,Throwing someone into dire peril by blocking all paths to escape or salvation,,
making a mountain out of a molehill,"Exaggerating something excessively, making a trivial matter seem significant",,
let something slip,to slip away from one's grasp,,
What goes around comes around,Gradually changing hands and returning to the original owner,,
Boomerang effect,Gradually changing hands and returning to the original owner,,
walk hand in hand,to go hand in hand or stroll together intimately,,
go arm in arm,to go hand in hand or stroll together intimately,,
a little bit,A very small amount,,
a smidgen,A very small amount,,
just a touch,A very small amount,,
Bait and switch,To deceive by substituting inferior goods for superior ones,,
Palm off,To deceive by substituting inferior goods for superior ones,,
Change hands,Passing from one person's possession to another's; loss of authority or power,,
Pass the baton,Passing from one person's possession to another's; loss of authority or power,,
Get one's hand in,To become accustomed or skilled in a task,,
To reach beyond one's grasp,To be greedy; to attempt to acquire,,
To have an itchy palm,To be greedy; to attempt to acquire,,
give a helping hand,to cooperate or lend a hand,,
money box,"A small box, typically used for keeping money",,
purse,"A small box, typically used for keeping money",,
to pet,to pamper or show affection,,
to caress,to pamper or show affection,,
Miserly,"Stingy, reluctant to spend money, unwilling to repay debts, hesitant to easily withdraw or give money",,
Shake hands,To become allies or to agree,,
Join hands,To become allies or to agree,,
Bury the hatchet,To become allies or to agree,,
The long arm of the law,Nothing is beyond reach,,
aside,elsewhere; to one side; aside; away; separately,,
off to one side,elsewhere; to one side; aside; away; separately,,
out of the way,elsewhere; to one side; aside; away; separately,,
Having long fingers,Habit of stealing or thieving tendency,,
magic touch,Reputation for proficiency or skill in a particular task,,
green thumb,Reputation for proficiency or skill in a particular task,,
known for one's craft,Reputation for proficiency or skill in a particular task,,
Pocket-sized,Of a size that fits in one hand,,
Handy,Of a size that fits in one hand,,
golden touch,good touch of the hand (skilled or dexterous hands),,
Clean hands,Innocent and free from blame,,
Hands are clean,Innocent and free from blame,,
Sleight of hand,Sleight of hand; dexterity or skill of the hands,,
At one's fingertips,Kitchen utensils or tools readily available within the housewife's reach,,
Kitchen essentials,Kitchen utensils or tools readily available within the housewife's reach,,
to get one's hands on,to appropriate or steal for oneself,,
to pocket,to appropriate or steal for oneself,,
to swipe,to appropriate or steal for oneself,,
Under one roof,United or taking shelter together in one place,,
In the same boat,United or taking shelter together in one place,,
fisticuffs,Mutual use of force; group quarrel or brawl,,
brawl,Mutual use of force; group quarrel or brawl,,
Work hand in hand,Working in mutual cooperation or hand in hand,,
Lend a helping hand,Working in mutual cooperation or hand in hand,,
Elephantine,A person with a stout or bulky body,,
Built like an ox,A person with a stout or bulky body,,
Fight fire with fire,Accomplishing a task through cleverness or strategic means,,
Set a thief to catch a thief,Accomplishing a task through cleverness or strategic means,,
White elephant (a burdensome and expensive possession),Bearing the responsibility of a costly or burdensome task,,
Symbol of opulence,A sign of wealth or prosperity,,
Mark of affluence,A sign of wealth or prosperity,,
enough to feed an army,A vast quantity of food; enormous expenditure on provisions,,
elephantine appetite,A vast quantity of food; enormous expenditure on provisions,,
May-December romance,"Sarcastic expression indicating incongruity, often referring to a mismatch like an elderly man with a much younger wife",,
Cradle snatcher,"Sarcastic expression indicating incongruity, often referring to a mismatch like an elderly man with a much younger wife",,
a drop in the bucket,Arranging meager food for a glutton,,
peanuts for an elephant,Arranging meager food for a glutton,,
Delusions of grandeur,Considering the impossible as possible due to arrogance,,
beardless youth,One who has reached puberty but does not grow facial hair,,
smooth-faced lad,One who has reached puberty but does not grow facial hair,,
Household name,Recognized immediately upon hearing the name; a famous personality known to everyone,,
Famous far and wide,Recognized immediately upon hearing the name; a famous personality known to everyone,,
quack,"inexperienced, uneducated, unskilled",,
amateur,"inexperienced, uneducated, unskilled",,
jack of all trades,"inexperienced, uneducated, unskilled",,
Quack doctor,A person who claims knowledge and expertise in medicine but is actually an incompetent or unqualified practitioner,,
Snake oil salesman,A person who claims knowledge and expertise in medicine but is actually an incompetent or unqualified practitioner,,
a dream come true,Obtaining an unexpected opportunity; fulfillment of a distant aspiration,,
to have the moon on a stick,Obtaining an unexpected opportunity; fulfillment of a distant aspiration,,
Fall into one's hands,To come under one's control or authority; to become one's responsibility,,
Come into one's possession,To come under one's control or authority; to become one's responsibility,,
hands-on,Directly or practically; someone who works with their own hands,,
do-it-yourself,Directly or practically; someone who works with their own hands,,
firsthand experience,Directly or practically; someone who works with their own hands,,
black mark against someone,tainted or disgraced,,
stain on one's reputation,tainted or disgraced,,
First steps in learning,Beginning of formal education,,
Getting one's feet wet,"The beginning or initiation of any task, especially household chores like cooking",,
Breaking the ice,"The beginning or initiation of any task, especially household chores like cooking",,
To swear an oath,To take an oath,,
To pledge solemnly,To take an oath,,
Handmade,Made by one's own hands,,
Made from scratch,Made by one's own hands,,
A stone's throw away,Not far away; a very short distance; as far as a shout can be heard,,
Within earshot,Not far away; a very short distance; as far as a shout can be heard,,
Just around the corner,Not far away; a very short distance; as far as a shout can be heard,,
hand-reared,personally trained and brought up,,
homegrown talent,personally trained and brought up,,
molded by one's own hands,personally trained and brought up,,
can be counted on one hand,"a small number, just a few",,
handcuffed,caught in a crime or arrested,,
To have the upper hand,To be favorable or in one's control,,
The ball is in your court,To be favorable or in one's control,,
in one's hands,to be under control or at one's mercy,,
to have on hand,to be saved or stored up,,
in reserve,to be saved or stored up,,
Fall at someone's feet,To make an earnest plea or beg desperately,,
Beg on bended knees,To make an earnest plea or beg desperately,,
Starve to death,Dying of starvation; harming secretly rather than directly,,
Undermine from within,Dying of starvation; harming secretly rather than directly,,
Poison the well,Dying of starvation; harming secretly rather than directly,,
caught in the act,Caught red-handed while committing a crime,,
Kill two birds with one stone,Achieving two objectives with a single effort,,
Accept with open arms,To accept; to take with open hands,,
Take hold of,To accept; to take with open hands,,
Take on a responsibility,To take responsibility or undertake a duty,,
Take charge,To take responsibility or undertake a duty,,
Come into one's grasp,To come into possession; to be obtained or acquired,,
The proof is in the pudding,Unnecessary worry despite direct evidence at hand; stop futile arguments and show the evident proof instead,,
Seeing is believing,Unnecessary worry despite direct evidence at hand; stop futile arguments and show the evident proof instead,,
In one's grasp,To come into possession or control,,
Beg on bended knee,To plead desperately or beg earnestly,,
Go down on one's knees,To plead desperately or beg earnestly,,
To be handcuffed,To be arrested on charges of a crime,,
To be taken into custody,To be arrested on charges of a crime,,
see red,Extreme anger where one would immediately behead if possible; a desire to act without restraint or consequences,,
blow one's top,Extreme anger where one would immediately behead if possible; a desire to act without restraint or consequences,,
lose one's head,Extreme anger where one would immediately behead if possible; a desire to act without restraint or consequences,,
Keep in hand,To keep under control or in subjection,,
Have on a leash,To keep under control or in subjection,,
a godsend,"To obtain unexpected happiness, opportunity, or benefit",,
heaven-sent opportunity,"To obtain unexpected happiness, opportunity, or benefit",,
to hit the jackpot,"To obtain unexpected happiness, opportunity, or benefit",,
bare bones,the bare minimum,,
skeleton crew,the bare minimum,,
Tying the knot,Marriage or wedding ceremony,,
Getting hitched,Marriage or wedding ceremony,,
right away,"immediately, without delay, at once, directly",,
on the spot,"immediately, without delay, at once, directly",,
straight away,"immediately, without delay, at once, directly",,
Hand in hand,"Hand in hand, implying collective cooperation and unity",,
Shoulder to shoulder,"Hand in hand, implying collective cooperation and unity",,
In a pickle,To fall into great difficulty or a tight spot,,
Up the creek without a paddle,To fall into great difficulty or a tight spot,,
under the table payment,bribe or illicit earnings,,
backhander,bribe or illicit earnings,,
like the back of one's hand,extremely familiar,,
Not worth a dime,Being extremely stingy or miserly,,
No use crying over spilled milk,"Once an opportunity is lost, it cannot be regained",,
What's done cannot be undone,"Once an opportunity is lost, it cannot be regained",,
Ace up one's sleeve,Last asset; reserved wealth,,
Last resort,Last asset; reserved wealth,,
A bird in the hand flying away,Losing something valuable; missing an opportunity,,
Let something slip through one's fingers,Losing something valuable; missing an opportunity,,
Miss the boat,Losing something valuable; missing an opportunity,,
one-sided,Done considering only one side; biased or partial,,
biased,Done considering only one side; biased or partial,,
playing favorites,Done considering only one side; biased or partial,,
Puppet on a string,Someone who can be manipulated or controlled to do one's bidding,,
Yes-man,Someone who can be manipulated or controlled to do one's bidding,,
To look a gift horse in the mouth,To waste an opportunity through carelessness,,
To kill the goose that lays the golden eggs,To waste an opportunity through carelessness,,
Give someone a thrashing,To beat or do something to one's heart's content or personal satisfaction,,
Haunted house,Abode of ghosts and spirits,,
tit for tat,Mutual war or attack between two opposing parties,,
exchange blows,Mutual war or attack between two opposing parties,,
mutual combat,Mutual war or attack between two opposing parties,,
Drooling in anticipation,Excessive greedy expectation,,
Waiting with bated breath for something unattainable,Excessive greedy expectation,,
Alas!,"regret, remorse",,
What a pity!,"regret, remorse",,
Oh dear!,"regret, remorse",,
pining away,Long-term expectation or desire,,
waiting in vain,Long-term expectation or desire,,
Unity is strength,Unity increases strength,,
Two heads are better than one,Unity increases strength,,
dirge,"A song expressing sorrow, anguish, and lamentation",,
lament,"A song expressing sorrow, anguish, and lamentation",,
mournful ballad,"A song expressing sorrow, anguish, and lamentation",,
with tears in one's eyes,with moist or teary eyes,,
eyes brimming with tears,with moist or teary eyes,,
slurping noisily,Eating liquid food with hands while making slurping sounds,,
making a racket while eating,Eating liquid food with hands while making slurping sounds,,
One foot out the door,Has a family but lacks interest or commitment to family life,,
Married but not settled,Has a family but lacks interest or commitment to family life,,
half-time,break or interval,,
intermission,break or interval,,
half-fare ticket,A ticket available for purchase at half or comparatively reduced fare for minor viewers or passengers,,
child's discount ticket,A ticket available for purchase at half or comparatively reduced fare for minor viewers or passengers,,
black and white image,A black and white photograph printed on ordinary paper,,
halftone print,A black and white photograph printed on ordinary paper,,
Half a day's work,Half-day's work; half-day's pay,,
Half-pay,Half-day's work; half-day's pay,,
shorts,short or half-length pajama,,
Bermuda shorts,short or half-length pajama,,
half-day,A half-day holiday in school,,
early dismissal,A half-day holiday in school,,
In unison,Bound in one tune; unity in harmony,,
