id,idiom_src,meaning_src,idiom_tgt,meaning_tgt,confidence,verified,lang_pair
58,অগ্নিশর্মা,"অত্যন্ত কোপনস্বভাব-ব্যক্তি; ক্রুদ্ধ, ক্ষিপ্ত",अंधों में काना राजा,A person with limited ability appears impressive among those with even less ability.,HIGH,False,bn-hi
59,অগ্নিসংস্কার,মন্ত্র পড়ে শবদাহ; মৃতদেহ সৎকার,एक तीर से दो निशाने लगाना,To kill two birds with one stone; to solve two problems with a single action.,HIGH,False,bn-hi
62,অগ্নিতে ঘৃতাহূতি,উত্তেজনা/ক্রোধবৃদ্ধি,आँखें दिखाना,To express anger or to scold someone through threatening gestures.,HIGH,False,bn-hi
66,অগ্রপশ্চাৎ,অগ্রপশ্চাৎ বিবেচনা না করে কাজ করলে ফল ভালো হয় না,अपनी खिचड़ी अलग पकाना,To work in isolation; to do things in your own way without regard for others.,HIGH,False,bn-hi
67,অগ্রপশ্চাত্,ভূত-ভবিষ্যৎ,गड़े मुरदे उखाड़ना,To bring up past issues that are long forgotten.,HIGH,False,bn-hi
68,অগ্রপাণি,আঙুল; ডানহাত,चिराग तले अँधेरा,Ignorance or neglect right under one's nose; failing to see the obvious.,HIGH,False,bn-hi
69,অঘটন ঘটন পটিয়সী,অসাধ্য সাধনে বা অকাজে পটু নারী; মায়া,उल्टी गंगा बहाना,To do something impossible or against the natural order.,HIGH,False,bn-hi
70,অঘা,বিদ্রুপে নির্বোধ; অকর্মা গালিবিশেষ; তিরস্কার করতে ব্যবহৃত হয়,उल्लू का पट्ठा,A fool; a stupid person.,HIGH,False,bn-hi
72,অঙ্কুরে বিনষ্ট,শুরুতেই নাশ/বিনাশ,चौड़े बेंकर सोना,To be free from all worries; to be completely carefree.,HIGH,False,bn-hi
74,অঙ্কুশ তাড়না,গোপনে বা ভিতর থেকে তাড়না,खिचड़ी पकाना,To make a secret plan; to conspire or scheme together privately.,HIGH,False,bn-hi
75,অঙ্কস্থ,আয়ত্ব; হস্তগত,अपना उल्लू सीधा करना,To achieve one's own selfish motive; to act in self-interest without regard for others.,HIGH,False,bn-hi
76,অঙ্কস্থ,আয়ত্ব; হস্তগত,अपना उल्लू सीधा करना,To achieve one's own selfish motive; to act in self-interest without regard for others.,HIGH,False,bn-hi
77,অঙ্গ জল হওয়া,ভয় পাওয়া,पानी पानी होना,To be deeply ashamed; to feel intense embarrassment.,HIGH,False,bn-hi
80,অঙ্গুলিত্রান,সতর্কতামূলক ব্যবস্থা গ্রহণ করা,आसमान सिर पर उठा लेना,To take on a very difficult task; to attempt the impossible.,HIGH,False,bn-hi
81,অঙ্গুলি নির্দেশ,আঙ্গুলের ইসারা; আঙ্গুলের নির্দেশ,एक तीर से दो निशाने लगाना,To kill two birds with one stone; to solve two problems with a single action.,HIGH,False,bn-hi
84,অচিনপাখি,প্রাণ/প্রাণবায়ু,सीधी उँगली से घी न निकलना,Some tasks require force or cunning; you can't get things done by gentle means alone.,HIGH,False,bn-hi
86,অজগরবৃত্তি,আলসেমি; এক জায়গায় স্থির থেকে যা পাওয়া যায় তাতেই জীবনধারণ করা,कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,HIGH,False,bn-hi
87,অজগ্রাম,নিতান্ত অপরিচিত ক্ষুদ্রপল্লী,चौड़े बेंकर सोना,To be free from all worries; to be completely carefree.,HIGH,False,bn-hi
88,অজমূর্খ,আকাট বা নিরেট বোকা বা মূর্খ,आपे से बाहर होना,To be extremely angry; to lose complete self-control in rage.,HIGH,False,bn-hi
89,অজাতশত্রু,যার শত্রু নাই; যার শত্রু জন্মায়নি; যে শত্রুতা করে না,बन्दर क्या जाने अदरक का स्वाद,Don't expect appreciation from those who have no capacity to understand value.,HIGH,False,bn-hi
90,অজাতশ্মশ্রু,যার গোঁফদাড়ি জন্মায়নি; অপ্রাপ্তবয়স্ক বা অল্পবয়স্ক,मुँह न लगना,To not feel like eating; to have no appetite.,HIGH,False,bn-hi
91,অজা যুদ্ধ,যেখানে লড়াই থেকে আস্ফালন বেশি; যেকাজে আড়ম্বর বেশি ফললাভ সামান্য,आगे कुआँ पीछे खाई,To be in a desperate situation with no escape; between a rock and a hard place.,HIGH,False,bn-hi
92,অজাযুদ্ধ,"ঋষিদের শ্রাদ্ধানুষ্ঠান, যেখানে কলাপাতা বিছানো হলেও আহার্য্য পরিবেশন করা হয় না",अंधेर नगरी चौपट राजा,A place or situation where there is total chaos and no justice.,HIGH,False,bn-hi
93,অজুহাত,ওজর আপত্তি; কারণনির্দেশ; বাহানা,अक्ल पर पत्थर पड़ना,To lose one's sense of reason; to act stupidly or irrationally.,HIGH,False,bn-hi
94,অজ্ঞাতকুলশীল,যার বংশপরিচয় বা স্বভাবসম্পর্কে কিছু জানা নেই; সম্পূর্ণ অপরিচিত,चौड़े बेंकर सोना,To be free from all worries; to be completely carefree.,HIGH,False,bn-hi
95,অঞ্চলনিধি,অত্যন্ত প্রিয়বোধে যা আঞ্চলের নীচে ঢেকে রাখা হয়; স্বামী বা সন্তান; মূলতঃ আদরের পুত্রসন্তান,अँगारे बरसना,To be scorching hot; extreme heat of the sun.,HIGH,False,bn-hi
96,অঞ্চলপ্রভাব,স্বামীর উপর স্ত্রীর প্রভাব/প্রভুত্ব; স্ত্রীর একান্ত অনুগত,अंग-अंग फूले न समाना,To be overjoyed; extremely delighted.,HIGH,False,bn-hi
97,অতঃকিম,কিংকর্তব্যবিমূঢ় অবস্থা,अपनी खिचड़ी अलग पकाना,To work in isolation; to do things in your own way without regard for others.,HIGH,False,bn-hi
98,অতশত,খুঁটিনাটি; নানাবিধ বিষয়,आग में घी डालना,To add fuel to the fire; to make matters worse.,HIGH,False,bn-hi
99,অতিকথায় বার্তা নষ্ট,বাকচাতুর্যে মূলবক্তব্য হারিয়ে যায়,आँख चुराना,To hide out of shame; to avoid eye contact due to embarrassment or guilt.,HIGH,False,bn-hi
100,অতিগর্জনে ফোঁটাবৃষ্টি,হাঁকডাকওয়ালারা কাজের বেলায় অষ্টরম্ভা,अपनी खिचड़ी अलग पकाना,To work in isolation; to do things in your own way without regard for others.,HIGH,False,bn-hi
101,অতিঘরন্তি,গৃহকর্মনিপুণা কুমারী মেয়ে,चाँद पर थूकना,To blame someone who is completely blameless; to defame a highly respected person.,HIGH,False,bn-hi
102,অতি চালাকের গলায় দড়ি,বেশি চালাকির পরিণাম অশুভ হয়,फल चखना,To reap the consequences of one's actions; to enjoy the reward.,HIGH,False,bn-hi
103,অতিদর্পে হত লঙ্কা,অহঙ্কারে পতন অনিবার্য,आँख चुराना,To hide out of shame; to avoid eye contact due to embarrassment or guilt.,HIGH,False,bn-hi
104,অতিভক্তি চোরের লক্ষণ,ভক্তির আতিশয্যে গোপন উদ্দেশ্য প্রচ্ছন্ন থাকে,गड़ा धन,Something of great value that is hidden or unused.,HIGH,False,bn-hi
105,অতিলোভে তাঁতী নষ্ট,অতিরিক্ত লোভে সম্পূর্ণ ক্ষতি হয়,गला काटना,To ruin someone; to exploit or overcharge someone unfairly.,HIGH,False,bn-hi
106,অথৈ জল,চরম সংকট; ভীষণ বিপদ,अँगारे बरसना,To be scorching hot; extreme heat of the sun.,HIGH,False,bn-hi
107,অথৈ জলের মাছ,সুচতুর ব্যক্তি; চাপা স্বভাবের লোক,एक तीर से दो निशाने लगाना,To kill two birds with one stone; to solve two problems with a single action.,HIGH,False,bn-hi
108,অদল-বদল,তুল্যবিষয়ের পরিবর্তন,अपनी खिचड़ी अलग पकाना,To work in isolation; to do things in your own way without regard for others.,HIGH,False,bn-hi
109,অদানে অব্রাহ্মণে,সৎ বা সার্থক কাজে নয়; সাধারণত বাজে কাজে অর্থ ও পরিশ্রম ব্যয় সম্পর্কে প্রযোজ্য হয়,घर की मुर्गी दाल बराबर,To undervalue what one already has; a familiar thing is not appreciated.,HIGH,False,bn-hi
110,অদিনে অক্ষণে,শুভ বা প্রশস্ত দিন বা সময় নয়; খুবই দুর্দিনে এবং কুক্ষণে,घर की मुर्गी दाल बराबर,To undervalue what one already has; a familiar thing is not appreciated.,HIGH,False,bn-hi
111,অদৃষ্টের কিল,ভাগ্যবিপর্যয়; ভাগ্যের মার; কপালের ফের; গ্রহের ফের; বিধির বিড়ম্বনা,नाच न जाने आँगन टेढ़ा,A bad workman blames his tools; to blame your failures on external factors.,HIGH,False,bn-hi
112,অধঃপাতে যাওয়া,উচ্ছন্নে যাওয়া; কুসংসর্গে নষ্ট হওয়া; দুশ্চরিত্র হওয়া,दूध का दूध पानी का पानी हो जाना,The truth will surface; justice will be done and the facts will become clear.,HIGH,False,bn-hi
113,অধমাধম,অধমেরও অধম; অত্যন্ত নিকৃষ্ট/নীচ,अंग-अंग फूले न समाना,To be overjoyed; extremely delighted.,HIGH,False,bn-hi
114,অধিকগর্জনে অল্পবর্ষণ,বেশি গর্জন বা হুমকির পর অল্প কাজ বা ফলাফল,ऊंट के मुँह में जीरा,A very small amount for a very large need; too little too late.,HIGH,False,bn-hi
115,অধিক সন্ন্যাসীতে গাজন নষ্ট,অবাঞ্ছিত বহুব্যক্তির সমাবেশে মতভেদজনিত কারণে সমস্ত কাজকর্ম পণ্ড,एक अनार सौ बीमार,When something scarce is desired by many people; too many claimants for a limited resource.,HIGH,False,bn-hi
117,অধিবিন্না,দ্বিতীয়বার বিবাহিত পুরুষের জীবিত প্রথমাপত্নী,जोरू का गुलाम,A man who is completely dominated by his wife.,MEDIUM,False,bn-hi
118,অধিবেত্তা,প্রথমস্ত্রী জীবিত থাকা সত্বেও তার বন্ধ্যাদোষহেতু দ্বিতীয়বার বিবাহকারী পুরুষ,जोरू का गुलाम,A man who is completely dominated by his wife.,MEDIUM,False,bn-hi
119,অধিমাস,"অতিরিক্ত চান্দ্রমাস, যে মাসে দুটি অমাবস্যা পড়ে",एक तीर से दो निशाने लगाना,To kill two birds with one stone; to solve two problems with a single action.,HIGH,False,bn-hi
122,অনন্তরূপিণী,নানারূপধারিণী,कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,HIGH,False,bn-hi
125,অনভ্যাসের ফোঁটা,আচমকা সৌভাগ্যের অস্বস্তি,पाँचों उँगलियाँ घी में होना,To be very prosperous; to enjoy abundant wealth and good fortune.,HIGH,False,bn-hi
126,অনলে জল ঢালা,উত্তেজনা হ্রাস; রাগ স্তিমিত,आँखें दिखाना,To express anger or to scold someone through threatening gestures.,HIGH,False,bn-hi
127,অনাগতবিধাতা,আগাম উদ্যোগকারী; ভবিষ্যতের জন্য সংস্থানকারী; ভাবি অনিষ্টের প্রতিকারক; যে পরিণামের চিন্তায় আগাম ব্যবস্থা গ্রহণ করে বা প্রস্তুত থাকে,कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,HIGH,False,bn-hi
131,অনামুখো,কুৎসিত ব্যক্তি; যার মুখ দেখলে অমঙ্গল হয়,आँख का तारा,To be the most beloved person; someone cherished above all others (apple of one's eye).,HIGH,False,bn-hi
132,অনাসৃষ্টি,অদ্ভূত; কুৎসিত; সৃষ্টিছাড়া,आँख चुराना,To hide out of shame; to avoid eye contact due to embarrassment or guilt.,HIGH,False,bn-hi
133,অনাহারী,ব্যঙ্গে অবৈতনিক; কাজ করে কিন্তু বেতন পায় না,बन्दर क्या जाने अदरक का स्वाद,Don't expect appreciation from those who have no capacity to understand value.,HIGH,False,bn-hi
134,অনিষ্ট হতে ইষ্টলাভ,মন্দঘটনা থেকে ভালো ঘটনার উৎপত্তি; সমতুল্য- শাপে বর; অহিতে বিপরীত,खट्टे-मीठे दिन देखना,To experience both good and bad times in life.,HIGH,False,bn-hi
135,অনুপান,ঔষধের সাথে বা পরে পান করা মিষ্টিরস,अंगूठा दिखाना,To refuse with intention to deceive; to betray someone's trust after promising help.,HIGH,False,bn-hi
136,অনুরোধে ঢেঁকি গিলা,অনুরোধ এড়াতে না পেরে অনিচ্ছা সত্ত্বেও কোনো কাজ করা,न नौ मन तेल होगा न राधा नाचेगी,The event won't happen because conditions cannot be met.,HIGH,False,bn-hi
137,অনুরোধে ঢেঁকি গেলা,অনুরোধে দুরূহ কাজ করতে সম্মত হওয়া,आसमान सिर पर उठा लेना,To take on a very difficult task; to attempt the impossible.,HIGH,False,bn-hi
138,অনুলোম বিবাহ,উচ্চবর্ণের পাত্রের সাথে নীচবর্ণের পাত্রীর বিয়ে,एक तीर से दो निशाने लगाना,To kill two birds with one stone; to solve two problems with a single action.,HIGH,False,bn-hi
139,অনেক কাঠখড় পুড়িয়ে,বহু চেষ্টা ও পরিশ্রম করে,अपनी खिचड़ी अलग पकाना,To work in isolation; to do things in your own way without regard for others.,HIGH,False,bn-hi
140,অনেক জলের মাছ,অত্যন্ত চালাক; চালচলন টের পাওয়া যায় না এমন সুচতুর ব্যক্তি,कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,HIGH,False,bn-hi
141,অনেক সন্ন্যাসীতে গাজন নষ্ট,বহুজনের কর্তৃত্ব থাকলে অনুষ্ঠানে কাজের থেকে অকাজ বেশি হয়; ফলে কাজকর্মে বিশৃঙ্খলা দেখা দেয়,एक अनार सौ बीमार,When something scarce is desired by many people; too many claimants for a limited resource.,HIGH,False,bn-hi
142,অন্তর টিপুনি,গোপন ব্যথা; অন্যের অজ্ঞাতে কারো মনে গোপনে আঘাত,आंखों में धूल झोंकना,To deceive someone; to pull wool over someone's eyes.,HIGH,False,bn-hi
146,অন্তর্দাহ,ঈর্ষাজনিত কারণে গাত্রদাহ,आँख चुराना,To hide out of shame; to avoid eye contact due to embarrassment or guilt.,HIGH,False,bn-hi
147,অন্তিমদশা,মরণকাল; মুমূর্ষু অবস্থা,मक्खी मारना,To be idle; to waste time doing nothing.,HIGH,False,bn-hi
148,অন্ধ ও খোঁড়ার পথ চলা,অন্ধের সাহায্যে খোঁড়ার পথ চলা,अंधेर नगरी चौपट राजा,A place or situation where there is total chaos and no justice.,HIGH,False,bn-hi
149,অন্ধকার দেখা,বিপদের আশঙ্কায় বা ভয়ে ও ভাবনায় দিশেহারা হওয়া,दूध का दूध पानी का पानी हो जाना,The truth will surface; justice will be done and the facts will become clear.,HIGH,False,bn-hi
150,অন্ধকার দেখানো,বিপদে ফেলে অভিভূত করা,दिन में तारे दिखना,To be shocked or stunned; to experience extreme distress or bewilderment.,HIGH,False,bn-hi
151,অন্ধকারে উকুন বাছা,যে কাজ করা কোনমতে সম্ভব নয়,खाला जी का बाड़ा,An easy task or situation that requires no effort.,HIGH,False,bn-hi
152,অন্ধকারে কালো বিড়াল খোঁজা,বৃথা বা অসম্ভব প্রচেষ্টা,उल्टी गंगा बहाना,To do something impossible or against the natural order.,HIGH,False,bn-hi
153,অন্ধকারে ঢিল ছোঁড়া,কার্যসিদ্ধি হতে পারে এই আশায় অনিশ্চয়তা সত্বেও কিছু করা,जिसकी लाठी उसकी भैंस,Might is right; those with power can do as they please.,HIGH,False,bn-hi
154,অন্ধকারে থাকা,কিছু না জানা; কোন বিষয়ে সম্পূর্ণ অজ্ঞ বা অনভিহিত থাকা,कान में तेल डालकर बैठना,To deliberately ignore what is being said; to pretend not to hear.,HIGH,False,bn-hi
155,অন্ধকারে হাতড়ানো,চোখে দেখতে না পাওয়ায় হাতের স্পর্শ দিয়ে অনুমান করা; অনুমানে,आँख चुराना,To hide out of shame; to avoid eye contact due to embarrassment or guilt.,HIGH,False,bn-hi
157,অন্ধকে দর্পণ দেখানো,মূর্খকে জ্ঞানদান,उल्लू बनाना,To make a fool of someone; to dupe or trick someone.,HIGH,False,bn-hi
158,অন্ধগোলাঙ্গুলন্যায়,মুর্খের উপদেশে গরুর লেজ ধরে চলতে দিয়ে এক অন্ধের যেরকম দুর্দশা হয়েছিল সেইরকম,कान का उल्लू होना,To be a foolish or naive person who is easily fooled.,HIGH,False,bn-hi
159,অন্ধপঙ্গুন্যায়,একজনের সম্পূর্ণ শক্তি না থাকলে অন্যের সাহায্য নিয়ে কাজ যে সম্পন্ন করা যায় সেইরকম,बेड़ा पार लगाना,To help someone overcome a difficult situation.,HIGH,False,bn-hi
160,অন্ধপরম্পরান্যায়,বিষয়বিশেষে অজ্ঞব্যক্তিদের কথায় বিশ্বাসযোগ্যতা যেমন থাকে না সেইরকম,दो नाव में सवार होना,To try to benefit from two sides simultaneously; to be unreliable or disloyal.,HIGH,False,bn-hi
161,অন্ধ পরম্পরা অন্যায়,অনেক অজ্ঞব্যক্তি একসাথে মিলিত হয়ে কাজ করলেও ইষ্টসাধন যে হয় না সেইরকম,एक अनार सौ बीमार,When something scarce is desired by many people; too many claimants for a limited resource.,HIGH,False,bn-hi
162,অন্ধবিশ্বাস,নির্বিচার যুক্তিহীন আস্থা; যুক্তি দিয়ে বিচার না ক’রে কোনকিছু মনে নেওয়া; যুক্তিহীন গভীর বিশ্বাস,अपनी खिचड़ी अलग पकाना,To work in isolation; to do things in your own way without regard for others.,HIGH,False,bn-hi
164,অন্ধ হওয়া,কারো দোষ না দেখা বা পক্ষপাতদুষ্ট হওয়া,कान में तेल डालकर बैठना,To deliberately ignore what is being said; to pretend not to hear.,HIGH,False,bn-hi
165,অন্ধহস্তীন্যায়,হাতীর স্বরূপ কি জানতে গিয়ে কয়েকজন অন্ধের যেমন ধারণা হয়েছিল তেমন; অনভিজ্ঞ ব্যক্তি কোন বস্তুর একদেশ দর্শন করে চরম সিদ্ধান্তে উপনীত হলে তাদের অন্ধহস্তীন্যায়ের অন্ধের সাথে তুলনা করা হয়,कंगाली में आटा गीला,"Misfortunes rarely come alone; when things are bad, they get worse.",HIGH,False,bn-hi
166,অন্ধিসন্ধি,কলাকৌশল,बूटी काढ़ना,To devise a cunning plan; to concoct a scheme.,HIGH,False,bn-hi
167,অন্ধের দেশে কানা রাজা,মূর্খের দলের অজ্ঞান নেতা,अंधों में काना राजा,A person with limited ability appears impressive among those with even less ability.,HIGH,False,bn-hi
168,অন্ধের যষ্টি,অসহায়ের সহায়; অক্ষমের অপরিহার্য অবলম্বন,अंधे की लकड़ी,The sole support or reliance of a helpless person.,HIGH,False,bn-hi
170,অন্ন ওঠা,আয়ু/পরমায়ু শেষ হওয়া,अपना उल्लू सीधा करना,To achieve one's own selfish motive; to act in self-interest without regard for others.,HIGH,False,bn-hi
171,অন্নগত প্রাণ,ব্যঙ্গার্থে আহার্য ছাড়া বাঁচে না এমন; অন্নের অভাবে প্রাণ যায় যায় অবস্থা,अक्ल का दुश्मन,A foolish person; someone who acts without thinking.,HIGH,False,bn-hi
172,অন্নচিন্তা চমৎকারা,আহার জোটনোর চিন্তা অতি কঠিন ব্যাপার,टेड़ी खीर होना,A very difficult task; something that is extremely challenging to accomplish.,HIGH,False,bn-hi
174,অন্নজল ওঠা,চাকরি হারানো; জীবিকা অর্জনের উপায় শেষ,अपना उल्लू सीधा करना,To achieve one's own selfish motive; to act in self-interest without regard for others.,HIGH,False,bn-hi
175,অন্নজলের নাড়ী কোটা,শিশুর ভাতজল খাওয়ার বয়স হওয়া,बुढ़ापे की लाठी,The sole support in old age (usually a son or daughter).,HIGH,False,bn-hi
