"id","idiom_bn","meaning_bn","idiom_en","meaning_en","idiom_hi","meaning_hi","bridge_text","confidence","source_bn","verified"
"29","অক্ষরজ্ঞান","প্রাথমিক শিক্ষা","know one's ABCs","","दाने-दाने को मोहताज होना","To be extremely poor; to lack even basic necessities.","Basic education or elementary literacy","HIGH","bagdhara","False"
"30","অক্ষরে অক্ষরে","কিছুমাত্র অন্যথা না করে; কোন ব্যতিক্রম না করে; যথাযথভাবে; সম্পূর্ণভাবে","to the letter', 'word for word', 'by the book","","खाक छानना","To wander around aimlessly without any purpose or direction.","without any deviation; exactly as specified; to the letter; completely and precisely","HIGH","bagdhara","False"
"31","অক্সিজেন জোগানো","বাঁচার আশ্বাস পাওয়া; বিপদে ভরসা দেওয়া","Throwing a lifeline', 'A breath of fresh air","","","","Receiving hope of survival; providing assurance in danger","HIGH","bagdhara","False"
"32","অখদ্যে অবদ্যে","অকর্মণ্য; অপদার্থ","Good for nothing', 'Useless","","","","Incompetent; worthless","HIGH","bagdhara","False"
"33","অখন-তখন অবস্থা","আশঙ্কাজনক অবস্থা; যেকোন সময় মারা যেতে পারে","Touch and go', 'On the brink of death', 'Hanging by a thread","","खाक छानना","To wander around aimlessly without any purpose or direction.","Precarious condition; could die at any moment","HIGH","bagdhara","False"
"34","অগতির গতি","অনন্যোপায়ের উপায়","Last resort', 'Desperate measures","","अंधेर नगरी चौपट राजा","A place or situation where there is total chaos and no justice.","A way out when there is no other alternative","HIGH","bagdhara","False"
"35","অগত্যা মধুসূদন","অনন্যোপায় হয়ে; নিমরাজী","By default', 'Grudgingly', 'As a last resort","","आँख चुराना","To hide out of shame; to avoid eye contact due to embarrassment or guilt.","Out of necessity; reluctantly","HIGH","bagdhara","False"
"36","অগভীর জলের পুঁটিমাছ","অল্প ধন/বিদ্যা নিয়ে বড়াইকারী লোক","Big fish in a small pond', 'All hat and no cattle","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A person who boasts despite having little wealth or knowledge","HIGH","bagdhara","False"
"37","অগর-মগর করা","নানা অজুহাত দেখানো; কিছু করা বা না করার পক্ষে নানা অজুহাত/ওজর/যুক্তি দেখানো","Beat around the bush', 'Hem and haw', 'Make excuses","","ङुर्र बनाना","To make false excuses; to create a pretext for avoiding something.","To make various excuses; to present multiple pretexts, reasons, or arguments for doing or not doing something","HIGH","bagdhara","False"
"38","অগস্ত্যযাত্রা","চিরদিনের জন্য প্রস্থান; শেষযাত্রা, যে-যাত্রায় বিদেশযাত্রী আর ঘরে ফিরে আসে না","One-way trip', 'Final journey', 'Journey to the great beyond","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","Permanent departure; final journey from which the traveler does not return home","HIGH","bagdhara","False"
"39","অগা","বিদ্রুপে নির্বোধ, অকর্মা বলে গালি; স্নেহযুক্ত তিরস্কারে অগাকান্ত ও অগারাম; তুচ্ছার্থক তিরস্কারে অগামারা","lazybones', 'good-for-nothing', 'numbskull","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","Derogatorily used to insult someone as foolish or lazy; in affectionate scolding as 'ogākānta' or 'ogārām'; in trivial or light-hearted rebuke as 'ogāmārā'","HIGH","bagdhara","False"
"40","অগাধ জল","চরম বিপদ","in deep water', 'drowning in trouble","","अँगारे बरसना","To be scorching hot; extreme heat of the sun.","Extreme danger or dire straits","HIGH","bagdhara","False"
"41","অগাধ জলের মাছ","খুব চালাক লোক; সুচতুর ব্যক্তি; যার মনোভাব বোঝা যায় না","Still waters run deep', 'A dark horse","","आँख का तारा","To be the most beloved person; someone cherished above all others (apple of one's eye).","A very clever person; a shrewd individual; someone whose mindset or intentions are hard to fathom","HIGH","bagdhara","False"
"42","অগ্নি-অবতার","অতি ক্রুদ্ধব্যক্তি","burning with rage', 'a raging inferno of anger","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","An extremely angry person","HIGH","bagdhara","False"
"43","অগ্নিকন্যা","অতিতেজস্বী নারী","Spitfire', 'Firecracker (for a spirited or hot-tempered woman)","","गोद में खेलना","To be extremely close and intimate with someone.","A woman with an extremely fiery temperament","HIGH","bagdhara","False"
"44","অগ্নিকাণ্ড","বিষম অনর্থ; তুলকালামকাণ্ড; তুমুল ঝগড়াবিবাদ; প্রচণ্ড মারামারি","all hell breaking loose', 'a firestorm', 'blow up","","छाती पीटना","To wail or lament loudly; to express intense grief.","a major calamity; a catastrophic event; intense quarrel and dispute; fierce fighting","HIGH","bagdhara","False"
"45","অগ্নিগর্ভ","অত্যন্ত উত্তেজনাপূর্ণ; উত্তপ্ত","powder keg', 'tinderbox","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","extremely exciting; heated or volatile","HIGH","bagdhara","False"
"46","অগ্নিচক্ষু","কঠোর দৃষ্টি","look daggers at someone', 'fiery stare","","","","stern or piercing gaze","HIGH","bagdhara","False"
"47","অগ্নিদাতা","হিন্দুদের মধ্যে যে মৃতের মুখাগ্নি করে","beast of burden","A mindless person who toils continuously at others' behest; someone who performs arduous labor in unwelcome tasks; an indifferent, unquestioning drudge","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","In Hindu tradition, the person who performs the ritual of lighting the funeral pyre by touching the mouth of the deceased","MEDIUM","bagdhara","False"
"48","অগ্নিপরীক্ষা","কঠিন পরীক্ষা; কঠিন পরিস্থিতির সম্মুখীন","trial by fire', 'baptism of fire","","आसमान सिर पर उठा लेना","To take on a very difficult task; to attempt the impossible.","a severe test; facing a difficult situation","HIGH","bagdhara","False"
"49","অগ্নিবর্ধক","ক্ষুধাবর্ধক; পরিপাকশক্তিবর্শক","whet the appetite', 'appetizer","","","","Appetite stimulant; digestion enhancer","HIGH","bagdhara","False"
"50","অগ্নিবর্ষণ","ক্রোধপ্রকাশ","breathing fire', 'raining fire and brimstone","","आँखें दिखाना","To express anger or to scold someone through threatening gestures.","expression of anger or outburst of rage","HIGH","bagdhara","False"
"51","অগ্নিবল","ক্ষুধা","fire in the belly', 'burning hunger","","छाती पीटना","To wail or lament loudly; to express intense grief.","intense hunger","HIGH","bagdhara","False"
"52","অগ্নিবাণ","চরম আঘাত","a bolt from the blue', 'a devastating strike","","अपने मुँह मियाँ मिट्ठू बनना","To blow one's own trumpet; to praise oneself.","a severe or ultimate blow","HIGH","bagdhara","False"
"53","অগ্নিবৃদ্ধি","ক্ষুধাবৃদ্ধি; পরিপাকশক্তি বৃদ্ধি","work up an appetite","","जिसकी लाठी उसकी भैंस","Might is right; those with power can do as they please.","Increase in hunger; increase in digestive power","HIGH","bagdhara","False"
"54","অগ্নিমান্দ্য","অক্ষুধা; অজীর্ণ রোগ; পরিপাকশক্তির অল্পতা; মন্দাগ্নি","indigestion', 'weak stomach","","","","indigestion; dyspepsia; weakness of digestive power; sluggish digestion","HIGH","bagdhara","False"
"55","অগ্নিমূর্তি","অতিশয় ক্রুদ্ধ","seeing red', 'burning with rage', 'like a fire-breathing dragon","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","extremely angry or furious","HIGH","bagdhara","False"
"56","অগ্নিমূল্য","অত্যন্ত আক্রা; চড়াদাম","Sky-high prices', 'Cost an arm and a leg","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","Extremely expensive; exorbitant prices","HIGH","bagdhara","False"
"57","অগ্নিযুগ","স্বদেশি আন্দোলনের সময়ের সশস্ত্র বিপ্লবের যুগ","Era of Revolution', 'Age of Fire and Fury","","","","The era of armed revolution during the Swadeshi Movement","HIGH","bagdhara","False"
"58","অগ্নিশর্মা","অত্যন্ত কোপনস্বভাব-ব্যক্তি; ক্রুদ্ধ, ক্ষিপ্ত","firebrand', 'hot-tempered', 'powder keg","","अंधों में काना राजा","A person with limited ability appears impressive among those with even less ability.","A person with an extremely irritable temperament; angry, furious","HIGH","bagdhara","False"
"59","অগ্নিসংস্কার","মন্ত্র পড়ে শবদাহ; মৃতদেহ সৎকার","last rites', 'funeral pyre","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","Cremation of the dead body with incantation of mantras","HIGH","bagdhara","False"
"60","অগ্নিসাক্ষী","আগুন ছুঁয়ে বা আগুনকে সাক্ষী রেখে শপথ","Swear on one's life"", 'Cross my heart and hope to die","","","","Swearing an oath by touching fire or invoking fire as a witness","HIGH","bagdhara","False"
"61","অগ্নিসেবন","আগুনের তাপ উপভোগ","Basking by the fireside', 'Toasting oneself by the fire","","","","Enjoying the warmth of the fire","HIGH","bagdhara","False"
"62","অগ্নিতে ঘৃতাহূতি","উত্তেজনা/ক্রোধবৃদ্ধি","add fuel to the fire', 'pour oil on troubled waters (intensifying version)","","आँखें दिखाना","To express anger or to scold someone through threatening gestures.","intensifying excitement or anger","HIGH","bagdhara","False"
"63","অগ্নিতে বারিবর্ষণ","উত্তেজনা বা ক্রোধ হ্রাস; রাগ স্থির হওয়া","Pour water on the fire', 'Douse the flames of anger","","","","Reducing excitement or anger; calming rage","HIGH","bagdhara","False"
"64","অগ্রদানী","হিন্দুদের শ্রাদ্ধে প্রেতের উদ্দেশ্যে প্রদত্ত তিলদান গ্রহণকারী পতিতব্রাহ্মণ","funeral offerings","The Hindu ritual performed for the satisfaction of the departed soul; food and drink offered to the spirit during shraddha ceremony","","To be a foolish or naive person who is easily fooled.","A fallen Brahmin who accepts the sesame seed offering given for the spirit in Hindu shraddha rituals","MEDIUM","bagdhara","False"
"65","অগ্রদূত","পথপ্রদর্শক","trailblazer', 'vanguard","","","","pathfinder or guide","HIGH","bagdhara","False"
"66","অগ্রপশ্চাৎ","অগ্রপশ্চাৎ বিবেচনা না করে কাজ করলে ফল ভালো হয় না","Look before you leap', 'Count the cost","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","Acting without considering future and past consequences leads to unfavorable outcomes","HIGH","bagdhara","False"
"67","অগ্রপশ্চাত্","ভূত-ভবিষ্যৎ","past and future', 'from beginning to end","","गड़े मुरदे उखाड़ना","To bring up past issues that are long forgotten.","past and future","HIGH","bagdhara","False"
"68","অগ্রপাণি","আঙুল; ডানহাত","Right-hand man', 'Helping hand","","चिराग तले अँधेरा","Ignorance or neglect right under one's nose; failing to see the obvious.","Index finger; right hand","HIGH","bagdhara","False"
"69","অঘটন ঘটন পটিয়সী","অসাধ্য সাধনে বা অকাজে পটু নারী; মায়া","Master of illusion', 'Weaver of dreams","","उल्टी गंगा बहाना","To do something impossible or against the natural order.","A woman skilled in achieving the impossible or in futile tasks; illusion (Maya)","HIGH","bagdhara","False"
"70","অঘা","বিদ্রুপে নির্বোধ; অকর্মা গালিবিশেষ; তিরস্কার করতে ব্যবহৃত হয়","silly goose', 'nitwit', 'you lazy bum","","उल्लू का पट्ठा","A fool; a stupid person.","In sarcasm, denoting a fool; a special term of abuse for laziness; used for scolding","HIGH","bagdhara","False"
"71","অঙ্কলক্ষ্মী","পত্নী; স্ত্রী","better half', 'the missus","","","","Wife; spouse","HIGH","bagdhara","False"
"72","অঙ্কুরে বিনষ্ট","শুরুতেই নাশ/বিনাশ","nipped in the bud","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","destruction right from the beginning","HIGH","bagdhara","False"
"73","অঙ্কুরোদ্গম","কোন কিছুর সূত্রপাত","In its infancy', 'The seed of an idea', 'Germination of a plan","","","","The inception or beginning of something","HIGH","bagdhara","False"
"74","অঙ্কুশ তাড়না","গোপনে বা ভিতর থেকে তাড়না","goading from behind', 'invisible hand pushing","","खिचड़ी पकाना","To make a secret plan; to conspire or scheme together privately.","Secret or internal urging or prodding","HIGH","bagdhara","False"
"75","অঙ্কস্থ","আয়ত্ব; হস্তগত","In one's pocket","","अपना उल्लू सीधा करना","To achieve one's own selfish motive; to act in self-interest without regard for others.","Possession; in one's grasp","HIGH","bagdhara","False"
"76","অঙ্কস্থ","আয়ত্ব; হস্তগত","Under one's control","","अपना उल्लू सीधा करना","To achieve one's own selfish motive; to act in self-interest without regard for others.","Possession; in one's grasp","HIGH","bagdhara","False"
"77","অঙ্গ জল হওয়া","ভয় পাওয়া","legs turning to jelly', 'weak in the knees","","पानी पानी होना","To be deeply ashamed; to feel intense embarrassment.","to feel intense fear or terror","HIGH","bagdhara","False"
"78","অঙ্গ জ্বালা","অসন্তোষ; বিরক্তি","gets on one's nerves","","","","discontent; irritation","HIGH","bagdhara","False"
"79","অঙ্গ জ্বালা","অসন্তোষ; বিরক্তি","makes one's skin crawl","","","","discontent; irritation","HIGH","bagdhara","False"
"80","অঙ্গুলিত্রান","সতর্কতামূলক ব্যবস্থা গ্রহণ করা","Better safe than sorry', 'An ounce of prevention is worth a pound of cure","","आसमान सिर पर उठा लेना","To take on a very difficult task; to attempt the impossible.","To take precautionary measures","HIGH","bagdhara","False"
"81","অঙ্গুলি নির্দেশ","আঙ্গুলের ইসারা; আঙ্গুলের নির্দেশ","Point the finger at', ""Put one's finger on","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","Pointing with the finger; Indication or gesture by the finger","HIGH","bagdhara","False"
"82","অচল পয়সা","অকেজো; কোন কাজের নয়; কোন দাম নেই; মূল্যহীন","not worth a dime', 'dead money', 'not worth a plug nickel","","","","obsolete; useless; worthless; valueless","HIGH","bagdhara","False"
"83","অচলায়তন","প্রগতিবর্জিত ও গোঁড়ামিপূর্ণ প্রতিষ্ঠান","stuck in the mud', 'fossilized organization","","","","A stagnant and orthodox institution","HIGH","bagdhara","False"
"84","অচিনপাখি","প্রাণ/প্রাণবায়ু","breath of life', 'vital spark","","सीधी उँगली से घी न निकलना","Some tasks require force or cunning; you can't get things done by gentle means alone.","life force or vital breath","HIGH","bagdhara","False"
"85","অচন্দ্রচেতন","যৌনচেতনাশূন্য","Pure as the driven snow', 'Innocent in matters of the flesh","","","","Devoid of sexual consciousness","HIGH","bagdhara","False"
"86","অজগরবৃত্তি","আলসেমি; এক জায়গায় স্থির থেকে যা পাওয়া যায় তাতেই জীবনধারণ করা","couch potato lifestyle', 'bone-idle existence","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","Laziness; sustaining life by remaining stationary in one place and living off whatever is easily obtained","HIGH","bagdhara","False"
"87","অজগ্রাম","নিতান্ত অপরিচিত ক্ষুদ্রপল্লী","middle of nowhere', 'back of beyond', 'boondocks","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","A completely unknown small village","HIGH","bagdhara","False"
"88","অজমূর্খ","আকাট বা নিরেট বোকা বা মূর্খ","complete idiot', 'absolute fool","","आपे से बाहर होना","To be extremely angry; to lose complete self-control in rage.","A complete or utter fool","HIGH","bagdhara","False"
"89","অজাতশত্রু","যার শত্রু নাই; যার শত্রু জন্মায়নি; যে শত্রুতা করে না","Without an enemy in the world', 'Harmless as a dove","","बन्दर क्या जाने अदरक का स्वाद","Don't expect appreciation from those who have no capacity to understand value.","One who has no enemies; one whose enemy has not been born; one who does not make enemies","HIGH","bagdhara","False"
"90","অজাতশ্মশ্রু","যার গোঁফদাড়ি জন্মায়নি; অপ্রাপ্তবয়স্ক বা অল্পবয়স্ক","Wet behind the ears', 'Callow youth","","मुँह न लगना","To not feel like eating; to have no appetite.","One whose mustache and beard have not grown; immature or of young age","HIGH","bagdhara","False"
"91","অজা যুদ্ধ","যেখানে লড়াই থেকে আস্ফালন বেশি; যেকাজে আড়ম্বর বেশি ফললাভ সামান্য","much ado about nothing', 'all bark and no bite","","आगे कुआँ पीछे खाई","To be in a desperate situation with no escape; between a rock and a hard place.","A situation with more commotion and fuss than actual fighting; a task involving much pomp and show but yielding little or no result","HIGH","bagdhara","False"
"92","অজাযুদ্ধ","ঋষিদের শ্রাদ্ধানুষ্ঠান, যেখানে কলাপাতা বিছানো হলেও আহার্য্য পরিবেশন করা হয় না","going through the motions', 'empty ritual', 'all show and no substance","","अंधेर नगरी चौपट राजा","A place or situation where there is total chaos and no justice.","A shraddha ceremony for sages where banana leaves are spread but no food is served","HIGH","bagdhara","False"
"93","অজুহাত","ওজর আপত্তি; কারণনির্দেশ; বাহানা","make excuses', 'find a pretext', 'cop-out","","अक्ल पर पत्थर पड़ना","To lose one's sense of reason; to act stupidly or irrationally.","excuse; objection; indication of reason; pretext","HIGH","bagdhara","False"
"94","অজ্ঞাতকুলশীল","যার বংশপরিচয় বা স্বভাবসম্পর্কে কিছু জানা নেই; সম্পূর্ণ অপরিচিত","stranger in a strange land', 'unknown quantity","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","One whose family background or nature is unknown; completely unfamiliar","HIGH","bagdhara","False"
"95","অঞ্চলনিধি","অত্যন্ত প্রিয়বোধে যা আঞ্চলের নীচে ঢেকে রাখা হয়; স্বামী বা সন্তান; মূলতঃ আদরের পুত্রসন্তান","apple of one's eye","","अँगारे बरसना","To be scorching hot; extreme heat of the sun.","Something hidden under the pallu out of extreme affection; husband or child; primarily a beloved son","HIGH","bagdhara","False"
"96","অঞ্চলপ্রভাব","স্বামীর উপর স্ত্রীর প্রভাব/প্রভুত্ব; স্ত্রীর একান্ত অনুগত","henpecked', 'under the thumb', 'whipped by wife","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","The wife's influence or dominance over the husband; extremely devoted to the wife","HIGH","bagdhara","False"
"97","অতঃকিম","কিংকর্তব্যবিমূঢ় অবস্থা","What now?', 'At a loss', ""What's next?","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","a state of bewilderment or confusion about what to do next","HIGH","bagdhara","False"
"98","অতশত","খুঁটিনাটি; নানাবিধ বিষয়","odds and ends', 'this and that', 'bits and pieces","","आग में घी डालना","To add fuel to the fire; to make matters worse.","Minutiae; various or sundry matters","HIGH","bagdhara","False"
"99","অতিকথায় বার্তা নষ্ট","বাকচাতুর্যে মূলবক্তব্য হারিয়ে যায়","Beat around the bush', 'All talk and no action","","आँख चुराना","To hide out of shame; to avoid eye contact due to embarrassment or guilt.","The main message is lost due to excessive verbosity or eloquence","HIGH","bagdhara","False"
"100","অতিগর্জনে ফোঁটাবৃষ্টি","হাঁকডাকওয়ালারা কাজের বেলায় অষ্টরম্ভা","Much ado about nothing', 'All bark and no bite","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","Noisy people creating a big fuss but achieving little during work","HIGH","bagdhara","False"
"101","অতিঘরন্তি","গৃহকর্মনিপুণা কুমারী মেয়ে","a perfect homemaker', 'domestic goddess","","चाँद पर थूकना","To blame someone who is completely blameless; to defame a highly respected person.","A maiden girl highly skilled in household chores","HIGH","bagdhara","False"
"102","অতি চালাকের গলায় দড়ি","বেশি চালাকির পরিণাম অশুভ হয়","Hoist with one's own petard"", 'Outsmart oneself', 'Too clever by half","","फल चखना","To reap the consequences of one's actions; to enjoy the reward.","Excessive cleverness leads to unfavorable consequences","HIGH","bagdhara","False"
"103","অতিদর্পে হত লঙ্কা","অহঙ্কারে পতন অনিবার্য","Pride comes before a fall', 'Hubris leads to downfall","","आँख चुराना","To hide out of shame; to avoid eye contact due to embarrassment or guilt.","Destruction is inevitable due to excessive pride","HIGH","bagdhara","False"
"104","অতিভক্তি চোরের লক্ষণ","ভক্তির আতিশয্যে গোপন উদ্দেশ্য প্রচ্ছন্ন থাকে","The lady doth protest too much', 'Overfamiliarity breeds contempt","","गड़ा धन","Something of great value that is hidden or unused.","Excessive devotion conceals hidden ulterior motives","HIGH","bagdhara","False"
"105","অতিলোভে তাঁতী নষ্ট","অতিরিক্ত লোভে সম্পূর্ণ ক্ষতি হয়","Greed is the root of all evil', 'The goose that lays the golden eggs (killing the source out of greed)","","गला काटना","To ruin someone; to exploit or overcharge someone unfairly.","Excessive greed leads to total ruin","HIGH","bagdhara","False"
"106","অথৈ জল","চরম সংকট; ভীষণ বিপদ","in deep water', 'dire straits', 'up the creek without a paddle","","अँगारे बरसना","To be scorching hot; extreme heat of the sun.","Extreme crisis; severe danger","HIGH","bagdhara","False"
"107","অথৈ জলের মাছ","সুচতুর ব্যক্তি; চাপা স্বভাবের লোক","Still waters run deep', 'Deep as the ocean","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","A shrewd or clever person; someone with a reserved or secretive nature","HIGH","bagdhara","False"
"108","অদল-বদল","তুল্যবিষয়ের পরিবর্তন","tit for tat', 'swap places', 'mere shuffling","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","Exchange or substitution of equivalent things, often implying minor or insignificant changes without altering the essence","HIGH","bagdhara","False"
