idiom_hi,meaning_hi,literal_hi,sentence_hi
होश ठिकाने लगाना,To make someone realize the error of their ways; to bring someone back to their senses.,To place senses in order,
कलाई खुलना,To be exposed; to have one's secrets or wrongdoings revealed.,To open the wrist,
आसमान सिर पर उठा लेना,To take on a very difficult task; to attempt the impossible.,To lift the sky onto one's head,
अंधों में काना राजा,A person with limited ability appears impressive among those with even less ability.,"Among the blind, the one-eyed man is king",
आंखों में धूल झोंकना,To deceive someone; to pull wool over someone's eyes.,To blow dust into someone's eyes,
ऊंट के मुँह में जीरा,A very small amount for a very large need; too little too late.,A cumin seed in a camel's mouth,
घर की मुर्गी दाल बराबर,To undervalue what one already has; a familiar thing is not appreciated.,The home chicken is equal to lentils,
"हाथी के दांत दिखाने के और, खाने के और",To be a hypocrite; to have a different public appearance from one's real intentions.,An elephant's tusks for show are different from those for eating,
कुएँ का मेंढक,Someone with a very limited outlook or narrow experience of the world.,A frog in the well,
दूध का दूध पानी का पानी हो जाना,The truth will surface; justice will be done and the facts will become clear.,The milk and water will separate,
बन्दर क्या जाने अदरक का स्वाद,Don't expect appreciation from those who have no capacity to understand value.,What does a monkey know of the taste of ginger?,
नौ सौ चूहे खाके बिल्ली हज को चली,To display saintly behaviour after committing many sins; a hypocrite turning pious.,"After eating 900 mice, the cat goes on Haj pilgrimage",
नाच न जाने आँगन टेढ़ा,A bad workman blames his tools; to blame your failures on external factors.,"Not knowing how to dance, yet blaming the courtyard for being crooked",
ईंट का जबाब पत्थर से देना,An eye for an eye; to retaliate with full force; to give a fitting reply.,To reply to a brick with a stone,
अंगूठा दिखाना,To refuse with intention to deceive; to betray someone's trust after promising help.,To show the thumb,
खाक छानना,To wander around aimlessly without any purpose or direction.,To sift dust,
आँख का तारा,To be the most beloved person; someone cherished above all others (apple of one's eye).,The star of one's eye,
मुँह मीठा करना,"To share happiness; to celebrate a joyous occasion, especially by distributing sweets.",To sweeten the mouth,
चेहरा उतरना,To face a disappointment; to become visibly sad or dejected.,Face falling,
नौ दो ग्यारह होना,To run away; to flee or escape from a situation.,Nine two become eleven,
लाल पीला होना,To get very angry; to lose one's temper.,To become red and yellow,
पानी पानी होना,To be deeply ashamed; to feel intense embarrassment.,To become water water,
कान का कच्चा होना,To believe things without thinking critically; to be gullible.,To be ear-raw,
एक अनार सौ बीमार,When something scarce is desired by many people; too many claimants for a limited resource.,"One pomegranate, hundred sick people",
आँख चुराना,To hide out of shame; to avoid eye contact due to embarrassment or guilt.,To steal eyes,
आकाश चूमना,To reach great heights; to achieve tremendous success or progress.,To kiss the sky,
किताबी कीड़ा,Someone who studies all the time; a bookworm engrossed in academic pursuits.,Book worm,
खिचड़ी पकाना,To make a secret plan; to conspire or scheme together privately.,To cook khichdi,
नमक मिर्च लगाना,To exaggerate a small matter; to embellish a story to make it more dramatic.,To add salt and chilli,
मुँह में पानी आना,To feel tempted by delicious food; to have one's mouth water.,Water coming to the mouth,
टेड़ी खीर होना,A very difficult task; something that is extremely challenging to accomplish.,To be crooked kheer,
पाँचों उँगलियाँ घी में होना,To be very prosperous; to enjoy abundant wealth and good fortune.,To have all five fingers in ghee,
दाल में कुछ काला होना,Something suspicious is going on; there is something fishy about the situation.,Something black in the lentils,
आपे से बाहर होना,To be extremely angry; to lose complete self-control in rage.,To be outside oneself,
आगे कुआँ पीछे खाई,To be in a desperate situation with no escape; between a rock and a hard place.,"Well ahead, ditch behind",
अक्ल पर पत्थर पड़ना,To lose one's sense of reason; to act stupidly or irrationally.,A stone falling on one's intelligence,
पेट काटना,"To go hungry; to sacrifice one's own food, especially for the sake of others.",To cut the stomach,
अंगारों पर पैर रखना,To perform a very difficult and dangerous task; to walk through fire.,To place feet on burning embers,
अँगूठा चूसना,To act childishly despite being grown up; to behave immaturely.,To suck the thumb,
आग बबूला होना,To get very angry; to be furious and agitated.,To become a fire bubble,
खून पसीना एक करना,To work extremely hard; to put in immense physical effort.,To make blood and sweat one,
आँख मारना,To wink at someone; especially with flirtatious or romantic intent.,To hit with the eye,
डोरे डालना,"To allure, beguile, or charm someone, usually with romantic interest.",To hurl strings,
उन्नीस बीस का अंतर होना,An imperceptible or negligible difference; practically the same.,The difference between nineteen and twenty,
आँखें दिखाना,To express anger or to scold someone through threatening gestures.,To show eyes,
बाल की खाल निकालना,To split hairs; to make unnecessarily fine distinctions or find trivial faults.,To take skin out of a hair,
पहाड़ खोदकर चूहा निकालना,To pursue something with great expectations but achieve almost nothing.,To dig a mountain and bring out a mouse,
अब पछताए होत क्या जब चिड़िया चुग गई खेत,It is no use feeling sorry after something bad has happened (like crying over spilt milk).,What is the use of repenting now when birds have devoured the field?,
"न नौ मन तेल होगा, न राधा नाचेगी",An event will not occur because the prerequisite conditions will not be fulfilled.,"Neither will there be nine maunds of oil, nor will Radha dance",
हाथ साफ़ करना,To steal; to embezzle or take something dishonestly.,To clean hands,
नाक में दम होना,To be extremely confident and self-assured; to have arrogant confidence.,To have breath in the nose,
सांप-छछूंदर की हालत होना,To be in a terrible dilemma; caught between two equally unpleasant options.,To be in the situation of a snake and a shrew,
गला काटना,To ruin someone; to exploit or overcharge someone unfairly.,To cut the throat,
हाथ मलना,To regret something deeply; to lament a missed opportunity.,To rub hands,
दाल न गलना,A plan not succeeding; to fail to achieve one's objective despite efforts.,Lentils not cooking,
छप्पर फाड़ कर देना,To receive something unexpectedly without any effort; unearned windfall.,To tear off the roof and give,
दिन में तारे दिखना,To be shocked or stunned; to experience extreme distress or bewilderment.,To see stars during the daytime,
आग लगाना,To stir up trouble; to create chaos or instigate conflict.,To set fire,
कोल्हू का बैल होना,To work tirelessly without any freedom or rest; to be stuck in drudgery.,To be a bull of the oil press,
ऊँगली पर नचाना,To control someone completely; to have someone under one's total influence.,To make someone dance on one's finger,
दूध का जला छाछ भी फूंककर पीता है,"Once bitten, twice shy; someone becomes overly cautious after a bad experience.",One burned by milk even blows on buttermilk,
लोहा लेना,To confront or compete with someone; to measure one's strength against another.,To take iron,
टका सा जवाब देना,To refuse someone abruptly; to give a flat and blunt refusal.,To give a response worth a penny,
मुट्ठी गरम करना,To bribe someone; to give money to influence someone's actions.,To warm the fist,
दो नाव में सवार होना,To try to benefit from two sides simultaneously; to be unreliable or disloyal.,To ride in two boats,
आँख फेरना,"To turn away from; to disregard or ignore someone, especially after previously favouring them.",To turn one's eye,
जली-कटी सुनाना,To speak harsh and bitter words; to scold someone severely.,To speak burnt and cut,
हथियार डाल देना,To surrender; to give up fighting or resistance.,To throw down weapons,
बाएं हाथ का खेल होना,To be very easy to accomplish; something that requires minimal effort.,To be a left-hand game,
कलेजा ठंडा होना,"To feel deeply satisfied and at peace, especially after seeing justice done.",For the liver to become cool,
मन मोटा करना,To become callous or insensitive; to harden oneself to others' suffering.,To make the heart thick,
अक्ल का दुश्मन होना,To be extremely foolish; to act in a way that defies all logic and reason.,To be an enemy of intelligence,
मुँह फाड़ कर देखना,To stare in amazement; to be utterly astonished by something.,To look with mouth wide open,
ङुर्र बनाना,To make false excuses; to create a pretext for avoiding something.,To make a gurr sound,
दिल टूट जाना,To be deeply disappointed or heartbroken; to suffer emotional devastation.,For the heart to break,
हवा से बातें करना,To move or run very fast; to be extremely swift.,To talk to the wind,
अपने मुँह मियाँ मिट्ठू बनना,To blow one's own trumpet; to praise oneself.,To call oneself Mr. Sweet with one's own mouth,
अक्ल का दुश्मन,A foolish person; someone who acts without thinking.,Enemy of wisdom,
अंग-अंग ढीला होना,To be extremely tired or exhausted.,Every limb becoming loose,
अंधे की लकड़ी,The sole support or reliance of a helpless person.,The blind man's stick,
अंधेर नगरी चौपट राजा,A place or situation where there is total chaos and no justice.,"City of darkness, ruinous king",
अपनी ही धुन में रहना,To be self-absorbed; to care only about one's own thoughts.,To remain in one's own tune,
आ बैल मुझे मार,To deliberately invite trouble or danger.,"Come, O bull, hit me",
आकाश-पाताल एक करना,To make tremendous efforts; to move heaven and earth.,To unite the sky and the netherworld,
आग लगाकर तमाशा देखना,To incite a conflict and then enjoy watching the chaos.,To set fire and then watch the show,
आसमान टूट पड़ना,A sudden great calamity or disaster.,The sky to fall down,
आसमान से गिरा खजूर में अटका,Out of one trouble and into another; from the frying pan into the fire.,Fallen from the sky and stuck in a date palm,
आँख का अंधा नाम नयनसुख,Something or someone that is the opposite of what the name suggests.,Blind of eye but named 'eye's joy',
आँखें चार होना,To exchange glances; to have a romantic meeting of eyes.,Four eyes to meet,
आँखों में धूल झोंकना,To deceive someone; to pull the wool over someone's eyes.,To throw dust in the eyes,
आटे-दाल का भाव मालूम होना,To learn the harsh realities of life; to face difficulties.,To know the price of flour and lentils,
ईंट से ईंट बजाना,To destroy completely; to raze to the ground.,To strike brick against brick,
उल्टी गंगा बहाना,To do something impossible or against the natural order.,To reverse the flow of the Ganges,
उल्लू बनाना,To make a fool of someone; to dupe or trick someone.,To make someone an owl,
उल्लू सीधा करना,"To serve one's own selfish purpose, often by unfair means.",To straighten the owl,
ऊँगली उठाना,To accuse or blame someone; to point out wrongdoing.,To raise a finger,
ऊँची दुकान फीका पकवान,Appearances can be deceptive; a grand exterior but poor quality inside.,Grand shop but tasteless food,
एक पन्थ दो काज,To kill two birds with one stone; to achieve two things at once.,"One effort, two tasks",
एक म्यान में दो तलवारें नहीं रह सकतीं,Two powerful rivals cannot coexist peacefully.,Two swords cannot remain in one sheath,
कंचन बरसना,To become very wealthy; to have great prosperity.,To rain gold,
कपड़े फाड़कर कफ़न बनाना,To ruin something good to create something trivial; wasteful action.,To tear clothes to make a shroud,
क़लई खुलना,The truth to be revealed; the real character to be exposed.,The plating to come off,
कलेजा मुँह को आना,To be extremely terrified or shocked.,The heart to come to the mouth,
कलेजे पर साँप लोटना,To burn with jealousy or envy.,A snake to crawl on the heart,
काठ की हाँडी बार-बार नहीं चढ़ती,You cannot deceive someone repeatedly with the same trick.,A wooden pot cannot be put on the fire again and again,
कान काटना,To surpass; to be better than someone else; to outsmart.,To cut ears,
कान भरना,To instigate or incite someone against another person.,To fill the ears,
काला अक्षर भैंस बराबर,To be completely illiterate; to have no education.,Black letters are equal to a buffalo,
कोल्हू का बैल,A person who works very hard without any rest or recognition.,Bull of the oil-press,
खट्टे-मीठे दिन देखना,To experience both good and bad times in life.,To see sour and sweet days,
खाला जी का बाड़ा,An easy task or situation that requires no effort.,Maternal aunt's house,
खून-पसीना एक करना,To work extremely hard; to make intense effort.,To make blood and sweat one,
खूब चलाना,To deceive or scheme successfully; to succeed by cunning.,To run well,
गड़े मुरदे उखाड़ना,To bring up past issues that are long forgotten.,To uproot buried corpses,
गागर में सागर भरना,To express a lot of meaning in a few words; to cover a big subject concisely.,To fill an ocean in a water-pot,
गाल बजाना,To boast or brag; to talk big without substance.,To play the cheeks,
गिरगिट की तरह रंग बदलना,To be unpredictable; to change one's opinion/behaviour frequently.,To change colour like a chameleon,
गुड़ गोबर करना,To spoil a good work; to turn a success into a failure.,To turn jaggery into dung,
घर का भेदी लंका ढाए,An insider can cause the most damage; a mole destroys from within.,The home insider destroys Lanka,
घाट-घाट का पानी पीना,To have wide experience; to have seen many places and situations.,To drink water from every wharf,
घी के दिए जलाना,To celebrate with great joy; to express happiness extravagantly.,To light lamps with ghee,
चाँद पर थूकना,To blame someone who is completely blameless; to defame a highly respected person.,To spit at the moon,
चादर से बाहर पैर फैलाना,To live beyond one's means; to spend more than one can afford.,To stretch feet beyond the blanket,
चार दिन की चाँदनी फिर अँधेरी रात,Short-lived happiness or prosperity.,"Four days of moonlight, then dark night",
चोली-दामन का साथ,A very close and inseparable relationship.,The companionship of blouse and skirt,
छक्के छूटना,To be completely baffled or defeated; to lose all composure.,Sixes to be released,
छाती पर पत्थर रखना,To suppress one's emotions; to bear sorrow stoically.,To place a stone on the chest,
जी जान लगाना,To put in full effort; to work with complete dedication.,To apply heart and life,
टका-सा जवाब देना,To refuse flatly; to say no directly and bluntly.,To give a penny-like reply,
टाँग अड़ाना,To interfere in someone else's affairs unnecessarily.,To insert a leg,
टेढ़ी खीर,A very difficult task; a tough nut to crack.,Twisted rice pudding,
डंका बजाना,To proclaim loudly; to make something widely known.,To beat the drum,
तलवे चाटना,To flatter excessively; to butter up someone.,To lick soles,
तीन-पाँच करना,To make excuses; to prevaricate.,To do three-five,
तूती बोलना,To have great influence; to be in a position of power.,The parrot to speak,
दाने-दाने को मोहताज होना,To be extremely poor; to lack even basic necessities.,To be in need of every grain,
दिल पर पत्थर रखना,To suppress emotions and endure pain silently.,To keep a stone on the heart,
दुम दबाना,To run away in fear; to flee in panic.,To press the tail,
दूध का दूध पानी का पानी,Complete justice; truth separated from falsehood.,Milk of milk and water of water,
धूप में बाल सफ़ेद होना,To be inexperienced; to have gained no wisdom despite age.,Hair to whiten in the sun,
न नौ मन तेल होगा न राधा नाचेगी,The event won't happen because conditions cannot be met.,"Neither will there be nine maunds of oil, nor will Radha dance",
नमक-मिर्च लगाना,To exaggerate a story; to make something sound more interesting.,To add salt and chilli,
नाक रगड़ना,To beg humbly; to plead with someone.,To rub the nose,
नाकों चने चबवाना,To make someone work very hard; to give a very difficult time.,To make someone chew gram with the nose,
पसीना-पसीना होना,To feel very ashamed; to be extremely embarrassed.,To become sweat-sweat,
पानी फेरना,To ruin something completely; to spoil a good thing.,To turn water,
पेट में चूहे कूदना,To be very hungry.,Rats jumping in the stomach,
पौ बारह होना,To be very lucky; to succeed brilliantly.,To be twelve out of twelve,
फटे में पाँव देना,To deliberately cause trouble; to add to a problem.,To put foot in the torn,
फूट डालो और राज करो,To create dissension among people to maintain control.,Divide and rule,
बंदर क्या जाने अदरक का स्वाद,Someone with no knowledge or appreciation of a fine thing.,What does a monkey know of the taste of ginger?,
बगले झाँकना,To be ashamed; to feel embarrassed about one's actions.,To peep at the armpits,
बर्फ की दीवार बनना,To stand firm without wavering; to be stoic.,To become a wall of ice,
बाल-बाल बचना,To narrowly escape danger; a close shave.,To escape by a hair,
बुढ़ापे की लाठी,The sole support in old age (usually a son or daughter).,The stick of old age,
बूटी काढ़ना,To devise a cunning plan; to concoct a scheme.,To brew a herb,
बेड़ा पार लगाना,To help someone overcome a difficult situation.,To take the boat across,
बोलबाला होना,To be very famous or influential; to hold sway.,To have a loud voice,
भगदड़ मचना,To create chaos; a situation of total disorder.,A stampede to happen,
भट्टी में झोंकना,To sacrifice; to give up something completely.,To throw into the furnace,
भाड़े का जिन्न,"Someone who works only for money, without loyalty.",A hired genie,
भीगी बिल्ली बनना,To become very meek and submissive out of fear.,To become a wet cat,
भूत सवार होना,To be obsessed with an idea; to behave wildly.,A ghost to ride,
मँहगाई का ज़माना,A period when prices are very high.,Era of inflation,
मक्खन लगाना,To flatter someone; to butter up.,To apply butter,
मन मारना,To control one's desires; to suppress emotions.,To kill the mind,
मरने की नौबत आना,To be in extreme difficulty; to face a life-or-death situation.,The situation of dying to come,
मसक-मसक कर रोना,To weep without control; to cry pitiably.,To cry mushy-mushy,
मीन मेख निकालना,To find faults in everything; to be overly critical.,To find a flaw in the fish,
मुँह की खाना,To suffer a humiliating defeat; to be badly beaten.,To eat one's own mouth,
मुँह तोड़ना,To silence someone rudely; to shut someone up.,To break the mouth,
मुँह न लगना,To not feel like eating; to have no appetite.,Not to touch the mouth,
मुँह से लार टपकना,To desire something greedily; to covet.,Saliva dripping from the mouth,
मुँह चिढ़ाना,To make funny faces; to mock someone by gestures.,To tease the mouth,
मुँह फेरना,To turn away from someone; to break relations.,To turn away the mouth,
मुद्रा में रहना,To be arrogant; to be full of pride.,To remain in posture,
मुर्दे का बदन सूजना,To be puffed up with pride; unwarranted arrogance.,The corpse's body to swell,
मैदान मारना,To win; to be victorious in a competition.,To beat the field,
यमराज के दरबार पहुँचना,To die; to pass away.,To reach the court of Yama,
रंग में भंग डालना,To spoil someone's happiness; to ruin the mood.,To spoil the color,
रफूचक्कर होना,To run away; to vanish quickly.,To be darned and gone,
राख में दबा कोयला,A person who appears harmless but is dangerous inside.,A coal hidden in ashes,
रात गई बात गई,Forget the past; let bygones be bygones.,"Night gone, matter gone",
राई का पहाड़ बनाना,To exaggerate a trivial issue; to make a mountain out of a molehill.,To make a mountain out of a mustard seed,
लकीर का फ़कीर होना,To follow old customs blindly; to be unoriginal.,To be a beggar of the line,
लख-लख करना,To praise highly; to boast about someone.,To say lakh-lakh,
लाल-पीला होना,To get very angry; to flare up.,To become red-yellow,
लोहा मानना,To acknowledge someone's superiority; to be forced to agree.,To accept iron,
वक्त का पहिया,The ups and downs of life; changing circumstances.,The wheel of time,
शान में बट्टा लगना,To suffer a loss of reputation; to be disgraced.,A stain on the prestige,
श्री गणेश करना,To begin something auspicious; to start a new venture.,To do Lord Ganesh,
सकता में आना,To be stunned; to be at a loss for words.,To come in a state of shock,
सच्चाई की जीत,The triumph of honesty; good over evil.,Victory of truth,
सन्न रह जाना,To be shocked into silence; to be dumbfounded.,To remain silent-stunned,
सपना टूटना,To have one's hopes shattered; a great disappointment.,A dream to break,
सब्ज़ बाग़ दिखाना,To lure someone with false promises; to deceive with temptations.,To show green gardens,
साँप-छछूँदर की हालत होना,To be in a terrible dilemma; between a rock and a hard place.,To be in a snake and shrew situation,
साँप सूंघ जाना,To become completely silent out of fear; to be struck dumb.,The snake to smell and go away,
सीधी उँगली से घी न निकलना,Some tasks require force or cunning; you can't get things done by gentle means alone.,Ghee not coming out with a straight finger,
सुनहरा मौका,A rare and excellent chance.,Golden opportunity,
सूरज पर थूकना,To level a false accusation against a blameless person.,To spit at the sun,
स्वाहा होना,To be completely destroyed; to go waste.,To be burnt as an offering,
हक्का-बक्का रह जाना,To be utterly surprised; to be speechless.,To remain stunned,
हाथ खड़े करना,To surrender; to give up.,To raise hands,
हाथ तंग होना,To be short of money; to be in financial difficulty.,Hands to be tight,
हाथ धोकर पीछे पड़ना,To pursue something with determination; to go after something relentlessly.,To wash hands and go after,
हार मान लेना,To give up; to concede loss.,To accept defeat,
हाल-बेहाल होना,To be in a very bad condition; to be completely exhausted.,To be state-conditionless,
हीरे की कनी,A very precious person or thing.,A particle of diamond,
होश उड़ जाना,To be extremely shocked; to be scared out of one's wits.,Senses to fly away,
क्षमा करना,To pardon; to overlook a mistake.,To forgive,
त्राहि-त्राहि करना,To be in great distress; to plead desperately.,To cry for help,
गुदड़ी का लाल,A person of great merit born in a humble family.,A ruby from a rag,
चार चाँद लगाना,To greatly enhance the beauty or value of something.,To add four moons,
जान बूझकर,Deliberately; intentionally.,With life knowing,
टस से मस न होना,To be stubborn; to refuse to change one's position.,Not to move a bit,
ढाक के तीन पात,Something that always remains the same; a perennial problem.,Three leaves of the dhak tree,
तन पर मैल जमना,To be extremely poor; to lack basic cleanliness.,Dirt to accumulate on the body,
दम तोड़ देना,To die; to give up the ghost.,To break breath,
नाटक करना,To pretend; to put on a false show.,To do a play,
पत्थर पर लकीर,Something permanent and unchangeable.,A line on stone,
फूला न समाना,To be overjoyed; to be extremely happy.,Not being able to contain flowering,
बात का बतंगड़ बनाना,To exaggerate a simple matter.,To make a rope out of a word,
भैंस के आगे बीन बजाना,To show something to someone who cannot appreciate it.,To play the flute before a buffalo,
मक्खी मारना,To be idle; to waste time doing nothing.,To kill flies,
यक्ष प्रश्न,A very difficult question; a perplexing query.,A question of a Yaksha,
रंग दिखाना,To display one's true abilities; to show what one is capable of.,To show color,
लहू सूखना,To be extremely frightened; to be petrified.,Blood to dry,
विष उगलना,To speak very harsh and hurtful words.,To vomit poison,
शहद लगाकर चाटना,To exploit something fully; to take advantage.,To apply honey and lick,
सिर पर कफ़न बाँधना,To be ready to die for a cause.,To tie a shroud on the head,
हवा हवाई बातें करना,To speak nonsense; to talk without substance.,To do airy talks,
आँखों का तारा,A beloved person or thing; apple of one's eye.,Star of the eyes,
अंगूर खट्टे होना,Sour grapes; pretending to despise something you cannot have.,Grapes to be sour,
अपना हाथ जगन्नाथ,Self-help is the best help; one's own effort is supreme.,One's own hand is Lord Jagannath,
आईने में मुँह देखना,To introspect; to consider one's own standing before judging others.,To see one's face in the mirror,
उल्लू का पट्ठा,A fool; a stupid person.,An owl's plank,
एक तो करेला दूसरा नीम चढ़ा,"When someone is already bad, they become worse.",One bitter gourd and second smeared with neem,
कान में तेल डालकर बैठना,To deliberately ignore what is being said; to pretend not to hear.,To sit with oil in one's ears,
खेल खत्म होना,Something to be finished; no more chance left.,The game to end,
कंगाली में आटा गीला,"Misfortunes rarely come alone; when things are bad, they get worse.","In poverty, the flour gets wet",
"कर भला तो हो भला, कर बुरा तो पड़े बुरा",What goes around comes around; you reap what you sow.,"Do good and good will happen, do bad and bad will happen",
कहाँ राजा भोज कहाँ गंगू तेली,There is no comparison between two completely different entities.,Where is King Bhoj and where is Gangu the oil-presser?,
कागज की नाव,Something that is very temporary and fragile; short-lived existence.,A paper boat,
काठ की हाँडी,A false pretence that cannot last; a deceptive situation.,A wooden cooking pot,
काम तमाम करना,To kill someone; to put an end to someone or something.,To finish the work,
काम काज की बात करना,To discuss something seriously; to get to the point.,To talk of work and employment,
काम निकालना,"To get one's purpose served, usually by clever means.",To extract work,
काया पलट होना,A complete change in appearance or character.,Body transformation,
किस्मत का धनी,A very lucky person; one blessed by fate.,Rich in fortune,
कीचड़ उछालना,To defame someone; to make dirty allegations.,To splash mud,
कुत्ते की मौत मरना,To die a disgraceful or lonely death.,To die a dog's death,
कुत्ते की तरह पड़ा रहना,To be completely exhausted or ill-treated.,To lie like a dog,
कूप मंडूक,A person with a very narrow outlook; someone with limited experience.,Well frog,
केला खाकर छिलके पर फिसलना,To be careless about small things after achieving something big.,To eat banana and slip on its peel,
खटाई में पड़ना,To be postponed or delayed indefinitely; to hang in uncertainty.,To fall into sourness,
खसम का घर,A place of refuge or comfort; a safe haven.,Husband's house,
खाए थाली बजाए थाली,To be ungrateful to the one who provides for you.,"Eats from plate, beats the plate",
खाली दिमाग शैतान का घर,Idle minds lead to mischief.,An empty mind is the devil's house,
खूँटा गाड़ना,To establish an influence or foothold in a place.,To drive a peg,
खोदा पहाड़ निकली चुहिया,Great effort produced a negligible result.,Dug a mountain and out came a tiny mouse,
गड़ा धन,Something of great value that is hidden or unused.,Buried treasure,
गधे को बाप बनाना,To flatter a fool to get one's work done.,To make a donkey one's father,
गरीब की जोरू सबकी भाभी,The weak and powerless are easily taken advantage of.,A poor man's wife is everyone's sister-in-law,
गाँठ बाँधना,To save money; to keep something for future use.,To tie a knot,
गाजर-मूली का भाव बताना,To teach someone a lesson; to show them their real worth.,To tell the price of carrot and radish,
गाल फुलाना,To be angry and sulk; to show displeasure silently.,To puff out cheeks,
गीदड़ भभकी,An empty threat; a false show of strength.,A jackal's bluff,
गुल खिलना,Something new and interesting to happen; a surprise development.,Flowers to bloom,
गोद में खेलना,To be extremely close and intimate with someone.,To play in the lap,
गोली दागना,To make a sharp verbal attack; to criticise harshly.,To fire a bullet,
घोड़ा बेचकर सोना,To be free from all worries; to sleep peacefully.,To sleep after selling the horse,
चमड़ी उधेड़ना,To exploit someone ruthlessly; to fleece someone.,To peel off skin,
चम्पत होना,To disappear suddenly; to run away without a trace.,To become vanished,
चरणामृत,The leftovers or remnants of something highly valued; also a gesture of respect.,Water from washing feet,
चिराग तले अँधेरा,Ignorance or neglect right under one's nose; failing to see the obvious.,Darkness under the lamp,
चींटी के पर निकलना,For an insignificant person to become arrogant when they gain a little power.,An ant to grow wings,
चुटकी बजाना,To do something very easily; to finish a task in no time.,To snap fingers,
चूल्हे की आग,Domestic troubles or household worries.,Fire of the hearth,
छपाक से पानी में गिरना,To do something abruptly; to jump into a situation without thinking.,To fall into water with a splash,
छप्पर पर रखना,To publicise something; to make an issue widely known.,To put on the thatch,
छलनी में पानी,An effort that is completely futile; something that cannot last.,Water in a sieve,
जख्म पर नमक छिड़कना,To make a painful situation even worse; to add insult to injury.,To sprinkle salt on a wound,
जबान पर ताला लगना,To be unable to speak; to become completely silent.,A lock on the tongue,
जमीन आसमान का फर्क,A vast difference; poles apart.,Difference like earth and sky,
जहर उगलना,To speak bitterly or venomously.,To vomit poison,
जान हथेली पर रखना,To risk one's life; to be ready to die.,To keep life on one's palm,
जोरू का गुलाम,A man who is completely dominated by his wife.,Slave of one's wife,
ज्योति जलना,To maintain hope; to keep a tradition alive.,A flame to burn,
टिप्पस देना,To secretly pass on information; to inform against someone.,To give a tip,
टूट पड़ना,To attack fiercely; to suddenly rush upon someone.,To break and fall,
ठठा मचाना,To laugh uproariously; to make everyone laugh.,To create laughter,
ठिकाने लगाना,To finish someone off; to kill or dispose of someone.,To put in place,
डंडे की तरह खड़ा होना,To stand very straight and stiff; to be very formal.,To stand like a stick,
डकार जाना,To embezzle or swallow something dishonestly.,To belch away,
डूबते को तिनके का सहारा,Even the smallest help is precious in a desperate situation.,A drowning person's support of a straw,
तारे गिनना,To lie awake all night; to be unable to sleep.,To count stars,
तिल का ताड़ बनाना,To exaggerate a small matter immensely.,To make a palm tree out of a sesame seed,
तीर चलाना,To make a pointed remark; to aim a criticism.,To shoot an arrow,
थूक कर चाटना,To go back on one's word; to act disgracefully after vowing not to do something.,To lick after spitting,
थोथा चना बाजे घना,Those with little substance make the most noise.,An empty gram rattles loudly,
दम घुटना,To feel suffocated; to be in a very oppressive situation.,Breath to choke,
दाँत पीसना,To be very angry; to suppress rage.,To grind teeth,
दिन दूना रात चौगुना,To progress at a very fast pace; to grow exponentially.,"Double by day, quadruple by night",
दिल बहलाना,To console oneself; to divert one's mind.,To entertain the heart,
दुनिया कमाना,To amass great wealth; to become very successful.,To earn the world,
धाक जमाना,To create a strong impression; to command respect through force of personality.,To establish awe,
धुन पकड़ना,To become obsessed with an idea; to stick to one thing stubbornly.,To catch a tune,
नकल करना,"To imitate someone, often in a mocking way.",To copy,
नथुना फुलाना,To show anger silently; to express displeasure.,To flare nostrils,
