id,idiom_bn,literal_meaning,figurative_meaning_bn,figurative_meaning_en,similar_in_english,similar_in_english_str,example_sentences_bn,source
2897,গণ্ডমূর্খ,গণ্ড (কপাল বা গাল) + মূর্খ (বোকা); কপালের মতো বড় মূর্খ,সম্পূর্ণ অক্ষরজ্ঞানহীন ব্যক্তি; মহামূর্খ,A completely illiterate person; a great fool,"['Dumb as a rock', 'Complete idiot', 'Numbskull']",Dumb as a rock; Complete idiot; Numbskull,"['সে এত গণ্ডমূর্খ যে সাধারণ প্রশ্নের উত্তরও দিতে পারে না।', 'এই গণ্ডমূর্খের কথা শুনে সবাই হাসতে হাসতে গড়াগড়ি দিল।']",bagdhara
2898,গণ্ডা পাওনা,গণ্ডায় (গালে) পাওনা (ঋণ বা ধার),নিজের গণ্ডা বুঝে নেওয়া,To realize or accept one's own loss or mistake,"['Learn the hard way', 'Face the music']",Learn the hard way; Face the music,"['এবার তুমি গণ্ডা পাওনা বুঝে নাও, আর ভুল করো না।', 'সে তার ভুলের জন্য গণ্ডা পাওনা বুঝল।']",bagdhara
2899,গণ্ডাগণ্ডা,গণ্ডা (বৃহৎ পরিমাণ বা স্তূপ) এর পুনরাবৃত্তি,বহুসংখ্যক বা বহুল পরিমাণে,In large numbers or in great abundance,"['in droves', 'galore', 'a plethora of']",in droves; galore; a plethora of,"['বাজারে গণ্ডাগণ্ডা ফল পাওয়া যাচ্ছে।', 'পার্টিতে গণ্ডাগণ্ডা অতিথি এসেছে।']",bagdhara
2900,গণ্ডায় এণ্ডায়,"গণ্ডা (মাথা) এবং এণ্ডা (শেষ অংশ) এ, অর্থাৎ বিশৃঙ্খলায়",গোলমালের সুযোগে নিজের কাজে ফাঁকি দিয়ে,Taking advantage of chaos to shirk one's responsibilities,"['fish in troubled waters', 'make oneself scarce in the confusion']",fish in troubled waters; make oneself scarce in the confusion,"['বাজারে গণ্ডায় এণ্ডায় সে চলে গেল, কাজ না করে।', 'মিটিংয়ের গোলমালে গণ্ডায় এণ্ডায় সবাই ফাঁকি দিয়ে বেরিয়ে গেল।']",bagdhara
2901,গণ্ডারচর্ম,গণ্ডারের চামড়া (rhinoceros skin),"মান/অপমানবোধ নেই এমন মনোবৃত্তি, গালাগাল বা অপমানসূচক কথা যার গায়ে লাগে না বা তাতে যার চৈতন্য হয় না এমন","A mentality devoid of honor or shame, unaffected by insults or abusive words","['thick-skinned', 'have a hide like a rhinoceros']",thick-skinned; have a hide like a rhinoceros,"['তার গণ্ডারচর্মের মতো মন, কোনো গালাগালেই সে কান পাতে না।', 'রাজনীতিতে থাকতে হলে গণ্ডারচর্মের মতো হতে পারে।']",bagdhara
2902,গণ্ডী,কপালের সীমা বা পরিসর (forehead boundary),সীমাসূচক পরিসর,Indicative boundary or personal limit,"[""know one's limits"", 'stay within bounds']",know one's limits; stay within bounds,"['কখনো নিজের গণ্ডী অতিক্রম করো না।', 'তার গণ্ডীতে থেকে কাজ করো।']",bagdhara
2903,গণ্ডূষ,হাতের কোষ,হাতের কোষে যে পরিমাণ জল ধরে সেই অত্যল্প পরিমাণ,"A very small amount, like the water that can be held in the hollow of the hand","['a drop in the bucket', 'a mere trickle']",a drop in the bucket; a mere trickle,"['তার কাছে গণ্ডূষমাত্র অর্থ আছে।', 'এই সাহায্য গণ্ডূষমাত্র, সমস্যা সমাধান করবে না।']",bagdhara
2904,গণ্ডূষ করা,মন্ত্রপাঠ করে হাতের কোষে জল নিয়ে পান করা,মন্ত্রপাঠ করে হাতের কোষে জল নিয়ে পান করা,"To hold water in the mouth after chanting mantras from cupped hands, as a ritual purification",[],,"['পূজার সময় তিনি মন্ত্র উচ্চারণ করে গণ্ডূষ করলেন।', 'অনাহারের পর গণ্ডূষ করে তিনি দ্বার খুলে দিলেন।']",bagdhara
2905,গণ্ডূষ জল দেওয়া,মুখে জল ভরে দেওয়া,পিতৃপুরুষের উদ্দেশ্য তর্পণ করা,Performing tarpan or libations for forefathers,"['Paying respects to ancestors', 'Honoring the departed']",Paying respects to ancestors; Honoring the departed,"['পিতৃপক্ষের সময় তিনি নদীর তীরে গণ্ডূষ জল দিয়ে পিতৃপুরুষদের স্মরণ করলেন।', 'এই আচার অনুসারে গণ্ডূষ জল দেওয়া হলো মৃত আত্মাদের তৃপ্তির জন্য।']",bagdhara
2906,গণ্ডূষ জলে সফরীর ফরফরানি,গণ্ডূষের জলে সফরীর ফরফরানি (মুখধোয়া জলে ব্যাঙের ডাকানি),অল্পবিদ্যার অধিকারীর বিদ্যা জাহির করার প্রবণতা,The tendency of a person with superficial knowledge to ostentatiously display their limited learning,"['Little knowledge is a dangerous thing', 'All hat and no cattle']",Little knowledge is a dangerous thing; All hat and no cattle,"['সে অল্প পড়াশোনা করে গণ্ডূষ জলে সফরীর ফরফরানি করে।', 'সভায় তার বক্তৃতা শুনে সবাই বুঝল এটা গণ্ডূষ জলে সফরীর ফরফরানি।']",bagdhara
2907,গণ্ডে-পিণ্ডে গেলা,গণ্ড (গাল) এবং পিণ্ড (গোলক বা ঢেলা) পর্যন্ত গিয়ে পৌঁছানো,"অপরিমিত আহার, গলা পর্যন্ত ঠেসে খাইয়া, মাত্রাতিরিক্ত পেট বোঝাই করা","Uncontrolled eating, stuffing food up to the throat, excessively overfilling the stomach","['Eat like a pig', ""Stuff one's face"", 'Overeat to the brim']",Eat like a pig; Stuff one's face; Overeat to the brim,"['নেমন্তন্নে গিয়ে সে গণ্ডে পিণ্ডে গেলা, আর উঠতেই পারল না।', 'বিয়ের ভোজে সবাই গণ্ডে পিণ্ডে গেলা করে ফেলেছে।']",bagdhara
2908,গতর,পিঠ বা মেরুদণ্ড (back or spine),স্বাস্থ্য,health or physical fitness,"['in good shape', 'fit as a fiddle']",in good shape; fit as a fiddle,"['তার গতর দেখে মনে হয় সে খুব সুস্থ।', 'এই বয়সে গতর রাখা কঠিন।']",bagdhara
2909,গতরখাকী,গতর (waist) খাকী (eater) – কোমর খাওয়া বা শুধু খেয়ে থাকা,অত্যন্ত অলস; সামর্থ্য থাকা সত্ত্বেও পরিশ্রমবিমুখ নারী/পুরুষ,Extremely lazy; a woman or man who avoids hard work despite having the ability,"['lazybones', 'couch potato', 'slothful idler']",lazybones; couch potato; slothful idler,"['সে একটা গতরখাকী, সকাল থেকে সন্ধ্যা পর্যন্ত শুধু ঘুমিয়ে কাটায়।', 'গ্রামের সেই খেকো লোকটি কখনো খেতে সাহায্য করে না।']",bagdhara
2910,গতর খাটানো,পিঠ বা শরীরের শক্তি খাটানো (straining one's back or body),পরিশ্রম করা,to work hard or toil,"[""put one's back into it"", ""work one's fingers to the bone"", ""break one's back""]",put one's back into it; work one's fingers to the bone; break one's back,"['সে গতর খাইয়া কাজ করে, কিন্তু ফল পায় না।', 'জীবনে সফল হতে হলে গতর খাটাতে হয়।']",bagdhara
2911,গতর নাড়ানো,শরীর বা নিতম্ব নাড়ানো (shaking the body or buttocks),কাজে নিযুক্ত থাকা,being engaged in work or toiling diligently,"[""get off one's butt"", ""roll up one's sleeves"", ""put one's nose to the grindstone""]",get off one's butt; roll up one's sleeves; put one's nose to the grindstone,"['অকম্মা ছেলেটা কখনো গতর নাড়ে না।', 'কাজ শুরু করার জন্য গতর নাড়তে হবে।']",bagdhara
2912,গতরজমা,গতরে (নিতম্বে) জমা (অনাবশ্যক চর্বি বা অলসতার সঞ্চয়),"আলসেমি, কুঁড়েমি","Laziness, indolence","['Lazy bones', 'Couch potato']",Lazy bones; Couch potato,"['সে গতরজমা করে সারাদিন শুয়ে থাকে।', 'এই গতরজমার কারণে কাজটা শেষ হল না।']",bagdhara
2913,গতর পোষা,শরীর বা কোমরকে লালন-পালন করা,আলসেমি বা কুঁড়েমি করা; পরিশ্রম না করে শরীরকে তোয়াজ করা,To be lazy or idle; to pamper the body without engaging in hard work,"['Couch potato lifestyle', 'Take it easy']",Couch potato lifestyle; Take it easy,"['সে চাকরি না করে গতর পোষা করে।', 'গ্রামে বসে গতর পোষা করলে কী হবে?']",bagdhara
2914,গতর লাগা,গতরে মেদ জমা হওয়া বা পিঠোপিঠি মোটা হওয়া,মোটাসোটা হওয়া,To become plump or fat,"['To put on weight', 'To fill out']",To put on weight; To fill out,"['খুব খাওয়াদাওয়া করার পর সে গতর লাগা হয়েছে।', 'বছর কয়েক ধরে অফিসের কাজে বসে থাকায় তার গতর লাগা হয়ে গেছে।']",bagdhara
2915,গতরে পোকা ধরা,গতরে (কোমর বা নিতম্বে) পোকা (কৃমি বা পোকা) ধরা (পড়া বা আক্রান্ত হওয়া),অকর্মণ্য হয়ে পড়া; আলস্যে সময় কাটাতে কাটাতে কর্মশক্তি হারিয়ে ফেলা,To become indolent or inactive; to lose one's capacity for work due to prolonged laziness,"['To rust from disuse', 'To go to seed', 'To vegetate']",To rust from disuse; To go to seed; To vegetate,"['অফিস ছেড়ে দিয়ে বাড়িতে বসে থাকায় তার গতরে পোকা ধরেছে।', 'ছুটিতে অনেকদিন কিছু না করায় ছেলেটার গতরে পোকা ধরে গেছে।']",bagdhara
2916,গতরের মাথা খাওয়া,গতরের মাথা খাওয়া (waist-head eating),নিস্কর্মা হয়ে বসে থাকা,to sit idle without work,"[""twiddling one's thumbs"", ""sitting on one's hands""]",twiddling one's thumbs; sitting on one's hands,"['চাকরি না পেয়ে সে গতরের মাথা খাচ্ছে।', 'বাজারে কাজ না পাওয়ায় গতরের মাথা খেয়ে দিন কাটাচ্ছে।']",bagdhara
2917,গতশোচনা,অতীতের জন্য শোক বা অনুতাপ,অতীত কৃতকার্যের জন্য শোক বা খেদ; অতীত বিষয়ের জন্য অনুতাপ,Sorrow or regret for past actions; repentance for past matters,"['Crying over spilled milk', 'No use crying over spilt milk']",Crying over spilled milk; No use crying over spilt milk,"['অতীতের ভুলের জন্য গতশোচনা করে কোনো লাভ নেই।', 'তিনি সর্বদা গতশোচনায় মগ্ন থাকেন, যা তার জীবনকে কষ্ট দেয়।']",bagdhara
2918,গতি করা,গতির কাজ করা (departure or movement to perform),অন্ত্যেষ্টিক্রিয়া; সৎকার করা,Funeral rites; to perform last rites or cremation,"['lay to rest', 'send off to the afterlife']",lay to rest; send off to the afterlife,"['তার মৃত্যুর পর পরিবার গতি করল।', 'গ্রামে অনেকে এখনো ঐতিহ্যবাহীভাবে গতি করে।']",bagdhara
2920,গতিক,গতির অবস্থা বা দিকনির্দেশ (movement or direction's state),অবস্থা,condition or state of affairs,"['state of affairs', 'how the wind blows']",state of affairs; how the wind blows,"['আকাশের গতিক ভালো নয়।', 'তার জীবনের গতিক খারাপ হয়ে গেছে।']",bagdhara
2922,গতিপ্রকৃতি,গতির প্রকৃতি (movement's nature or inherent disposition),"কার্যকলাপ, চালচলন, ধরণধারণ, হাবভাব, ভবিষ্যতে কি হতে পারে","Activities, conduct, mannerisms, demeanor, and potential future outcomes","['modus operandi', 'way of the world', ""fortune's decree""]",modus operandi; way of the world; fortune's decree,"['তার গতিপ্রকৃতি দেখে বোঝা যায় সে সবসময় সতর্ক থাকে।', 'ভাগ্যের বিধি অনুসারে সবকিছু ঘটে।']",bagdhara
2923,গতুয়া,ধীরগতির বা অলস চলাফেরার ব্যক্তি,"অলস, কুঁড়ে","lazy, indolent","['lazybones', 'slothful']",lazybones; slothful,"['সে একটা গতুয়া লোক, কখনো কাজ করে না।', 'গতুয়া স্বভাবের কারণে তার কোনো উন্নতি হয়নি।']",bagdhara
2924,গতুরে,গতিময় বা সর্বদা ব্যস্ত ব্যক্তি,"কর্মঠ, পরিশ্রমী","Hardworking, diligent","['Busy bee', 'Hard worker']",Busy bee; Hard worker,"['সে একজন গতুরে কৃষক, সকাল থেকে রাত পর্যন্ত কাজ করে।', 'গতুরে লোকের মতো তুমি কখনো বিশ্রাম নাও না।']",bagdhara
2925,গত্যন্তর,অন্য গতি বা পথ,অন্য গতি বা উপায়,another way or means,"['no other choice', 'alternative option']",no other choice; alternative option,"['গত্যন্তর না থাকায় সে দেশ ছেড়ে চলে গেল।', 'এখানে গত্যন্তর নেই, তাই আমাদের এই সিদ্ধান্ত নিতে হবে।']",bagdhara
2926,গদগদ,আবেগে দমবন্ধ হয়ে যাওয়া অবস্থা (দ্বিত্বশব্দ),আবেগজনিত বিহ্বলতা,Emotional agitation or choking with emotion,"['Choked up', 'Voice trembling with emotion']",Choked up; Voice trembling with emotion,"['সে তার মায়ের কথা মনে করে গদগদ হয়ে কাঁদতে লাগল।', 'ভাষণের সময় তার গলা গদগদ হয়ে গেল।']",bagdhara
2927,গদাইলস্কর,বিশাল গঠনের ধীরগতির ব্যক্তি (সম্ভবত 'গদা' থেকে বিশালতা এবং 'লস্কর' থেকে ধীরগতি নির্দেশক যৌগিক শব্দ),"বিপুল আকৃতির মন্থরগতিসম্পন্ন ব্যক্তি; অলস, কুঁড়ে","A person of enormous build with a slow gait; lazy, sluggish","['slowpoke', 'lumbering oaf', 'couch potato']",slowpoke; lumbering oaf; couch potato,"['সে একটা গদাইলস্কর, সারাদিন শুয়ে থাকে কাজ করে না।', 'অফিসে সেই গদাইলস্কর লোকটাকে দেখলে কাজের গতি কমে যায়।']",bagdhara
2928,গদাই লস্করী চাল,গদাই নৌকার মত ধীরগতির চাল,গাধাবোটের মত মন্থরগতি,Slow pace like a donkey boat,"[""At a snail's pace"", 'Slow as molasses']",At a snail's pace; Slow as molasses,"['তার কাজের গতি গদাই লস্করী চালের মতো।', 'পরীক্ষার প্রস্তুতি গদাই লস্করী চালে চলছে।']",bagdhara
2929,গদাইলস্করী চাল,আলসেমী বা ঢিলেঢালা চলার ধরন,"কার্যে আলসেমী, উদাসীনতা, কুঁড়েমি, ঢিলেমী","Laziness in work, indifference, backwardness, slackness","[""Drag one's feet"", 'Laissez-faire attitude', 'Slack off']",Drag one's feet; Laissez-faire attitude; Slack off,"['তার গদাইলস্করী চালের কারণে কাজগুলো সবসময় দেরি হয়ে যায়।', 'অফিসে এই গদাইলস্করী চাল চললে কখনো সফলতা আসবে না।']",bagdhara
2930,গদি,গদা বা বালিশ (cushion or mattress),ব্যবসায়ীর দপ্তর,Businessman's office or merchant's establishment,['counting house'],counting house,"['তার গদি শহরের প্রধান বাজারে অবস্থিত।', 'পুরনো দিনের ব্যবসায়ীরা তাদের গদিতে বসে হিসাব রাখতেন।']",bagdhara
2932,গন্ধমাদন,"সুগন্ধময় পর্বত (fragrant mountain, referring to the mythical Gandhamadan mountain)",প্রয়োজনীয় একটি বস্তুর যায়গায় অপ্রয়োজনীয় দশটা বস্তু,Ten unnecessary things in place of one necessary thing,"['Gilding the lily', 'Overkill']",Gilding the lily; Overkill,"['তুমি গন্ধমাদন করে ফেলেছ, একটা চা-ই যথেষ্ট ছিল, দশটা মিষ্টি কেন আনলে?', 'এই প্রকল্পে গন্ধমাদনের মতো অতিরিক্ত খরচ করা উচিত নয়।']",bagdhara
2934,গন্ধর্ব ছোটানো,ঘোড়া (গন্ধর্ব) ছড়ানো বা ছোটানো,প্রহারের চোটে বেসুরে চিৎকার করানো,To make someone scream discordantly from the pain of a beating,"['Beat someone until they howl', 'Make someone cry out in agony']",Beat someone until they howl; Make someone cry out in agony,"['বাবা রাগের মাথায় ছেলেকে এত মারল যে গন্ধর্ব ছোটানোর মতো চিৎকার করে উঠল।', 'পুলিশ অপরাধীকে প্রহার করে গন্ধর্ব ছোটানোর মতো বেসুরে চিৎকার করাল।']",bagdhara
2935,গন্ধর্ব পূজা,গন্ধর্বের পূজা (celestial beings' worship),প্রথমে আদর করে পরে প্রহারে বিদায় দান,To initially pamper or adore someone and then harshly reject or beat them away,"['Build up and knock down', 'Butter up and then dump']",Build up and knock down; Butter up and then dump,"['সে তার প্রেমিকার প্রতি গন্ধর্ব পূজা করল, প্রথমে সবকিছু দিয়ে আদর করল কিন্তু পরে মারধর করে তাড়িয়ে দিল।', 'পলিটিক্সে অনেকে গন্ধর্ব পূজা করে সমর্থকদের, প্রথমে প্রশংসা করে পরে বিসর্জন দেয়।']",bagdhara
2936,গন্ধেগন্ধে,গন্ধ অনুসরণ করে (scent by scent),সূত্র অনুসরণ করে,following clues or trails,"[""follow one's nose"", 'sniff out the trail']",follow one's nose; sniff out the trail,"['পুলিশ গন্ধেগন্ধে অপরাধীকে ধরে ফেলেছে।', 'সে গন্ধেগন্ধে ঠিক জায়গায় পৌঁছে গেছে।']",bagdhara
2937,গন্ধে টের পাওয়া,গন্ধ থেকে ইঙ্গিত পাওয়া,অনুমানে জানা,to know by inference or intuition,"['to smell a rat', 'to get wind of something']",to smell a rat; to get wind of something,"['আমি গন্ধে টের পেয়েছি যে এখানে কোনো ষড়যন্ত্র চলছে।', 'তার কথাবার্তা থেকে গন্ধে টের পাওয়া গেল যে সে মিথ্যে বলছে।']",bagdhara
2938,গণ্যমান্য,গণ্য (গুরুত্বপূর্ণ বা গণনীয়) + মান্য (সম্মানিত),"সম্ভ্রান্ত, সম্মানবিশিষ্ট; বিশেষ সম্মানযোগ্য",Respected and honorable; especially worthy of esteem,"['notable figures', 'dignitaries', 'persons of note']",notable figures; dignitaries; persons of note,"['গণ্যমান্য ব্যক্তিরা অনুষ্ঠানে অংশগ্রহণ করেছেন।', 'সভায় গণ্যমান্য অতিথিরা উপস্থিত ছিলেন।']",bagdhara
2939,গবা,গব (মূর্খ বা নির্বোধ বোঝাতে ব্যবহৃত স্ল্যাঙ্গ শব্দের রূপান্তর),"গোমূর্খ; নির্বোধ; নিরেটবোকা, বোধশক্তিহীন","Cow-like fool; senseless; utter idiot, lacking intelligence","['dumb as a rock', 'blockhead', 'numbskull']",dumb as a rock; blockhead; numbskull,"['সে এতটা গবা যে সাধারণ কাজও করতে পারে না।', 'এই গবার সাথে কথা বললে সময় নষ্ট হবে।']",bagdhara
2940,গভীরজলের মাছ,গভীর জলের মাছ,অচঞ্চল স্থিরবুদ্ধিসম্পন্ন ব্যক্তি,"An unflappable, steady-minded person","['Cool as a cucumber', 'Steady as a rock']",Cool as a cucumber; Steady as a rock,"['সংকটের মুহূর্তে সে গভীরজলের মাছের মতো অটল রইল।', 'তার স্থিরতা দেখে মনে হয় সে গভীরজলের মাছ।']",bagdhara
2942,গমগম,গম্ভীর শব্দের অনুকরণমূলক দ্বিত্বশব্দ,গম্ভীর শব্দব্যঞ্জক দ্বিত্বশব্দ,"A reduplicated word evoking a deep, resonant, or grave sound","['resounding with echoes', 'filled with a deep hum']",resounding with echoes; filled with a deep hum,"['আসর গমগম করছে।', 'পাহাড়ের গুহায় গমগম শব্দ হচ্ছে।']",bagdhara
2944,গায়েবী চাল,অদৃশ্য বা অনুপস্থিত থেকে চালানো (unseen or absent action/move),অবস্থা না জেনেই ব্যবস্থা গ্রহণ,Taking action without knowing the situation,"['Shooting in the dark', 'Acting blindly']",Shooting in the dark; Acting blindly,"['সে পরিস্থিতি না বুঝেই গায়েবী চাল চালিয়ে হেরে গেল।', 'এইসব গায়েবী চাল এড়িয়ে চলা উচিত।']",bagdhara
2946,গয়সাল,"গো-সাল (গোরু পালনকারী বা দুধ বিক্রেতা, গোয়ালার রূপান্তরিত)",মুসলমান ধর্মালম্বী হিন্দু,A Muslim who adheres to Hindu religious practices,"['crypto-Hindu', 'a Hindu at heart']",crypto-Hindu; a Hindu at heart,"['সে গয়সালের মতো, নাম মুসলিম কিন্তু হিন্দু রীতি পালন করে।', 'গ্রামে একজন গয়সাল ছিল যে দুর্গাপূজায় অংশ নিত।']",bagdhara
2947,গয়াংগচ্ছ,গয়ায় যাওয়া বা গয়া প্রাপ্তি,গয়াপ্রাপ্তি; মৃত্যু,Attaining Gaya; death,"['kick the bucket', 'pass away', ""meet one's maker""]",kick the bucket; pass away; meet one's maker,"['কোটাবাসে মালকচ্ছ বন্ধু বুঝি গয়াংগচ্ছ?', 'তার বয়স হয়েছে, যেকোনো সময় গয়াংগচ্ছ হতে পারে।']",bagdhara
2948,গয়ার ভূত,গয়ার ভূত (Gaya's ghost),"গয়ায় মরলে যে ভূত হয়, তাকে তাড়ানো কঠিন","A ghost from Gaya that is extremely difficult to exorcise; metaphorically, a persistent problem or affliction that is hard to get rid of","['Stubborn as a mule', ""Like a bad habit that's hard to break""]",Stubborn as a mule; Like a bad habit that's hard to break,"['এই অভ্যাসটা গয়ার ভূতের মতো, কোনোভাবেই ছাড়তে পারছি না।', 'তার মনে সেই দুঃখ গয়ার ভূত হয়ে আটকে আছে।']",bagdhara
2949,গয়ার পাপ,গয়ার পাপ (Gaya's sin),বিরক্তিকর অপরিহার্য বিষয় বা ব্যক্তি; যার কাছ থেকে নিস্কৃতি পাওয়া কঠিন; যাকে সহজে তাড়ানো যায় না,An annoying inevitable matter or person; from whom relief is difficult to obtain; whom cannot be easily driven away,"['a necessary evil', 'like a bad penny that always turns up']",a necessary evil; like a bad penny that always turns up,"['এই প্রবলেমটা তো গয়ার পাপের মতো, যতই চেষ্টা করি তাড়াতে পারছি না।', 'সেই পুরনো প্রতিবেশী গয়ার ভূতের মতোই, সবসময় বিরক্ত করে।']",bagdhara
2950,গয়ারাম,"গোয়ারাম নামক ব্যক্তি (literal as a proper name, possibly referring to a cowherd or fool archetype)",দলবদলে একদল থেকে অন্যদলে যাওয়া সদস্য,A member who switches from one group or party to another,"['turncoat', 'defector', 'party hopper']",turncoat; defector; party hopper,"['রাজনীতিতে সে একটা গয়ারাম হয়ে উঠেছে, কোনো দলেই থাকে না।', 'বন্ধুমহলে তার গয়ারাম স্বভাব সবাই জানে।']",bagdhara
2951,গরগর,বিড়ালের আরামের সময় উৎপন্ন হওয়া ধ্বন্যাত্মক শব্দ (পুনরাবৃত্তিমূলক),আরামসূচক ধ্বন্যাত্মক দ্বিত্বশব্দ,An onomatopoeic reduplicated word indicating comfort or contentment,"['purr', 'purring like a cat']",purr; purring like a cat,"['আদর পেয়ে বিড়ালটা গরগর করছে।', 'সে সোফায় বসে গরগর করে আরাম করছে।']",bagdhara
2954,গরজ,আবশ্যকতা বা বাধ্যবাধকতা,"আবশ্যক, প্রয়োজনের নিমিত্ত অনাবশ্যক কাজ করার দায়",Necessity; the obligation to perform unnecessary tasks due to need,"['out of necessity', 'necessity is the mother of invention']",out of necessity; necessity is the mother of invention,"['গরজে সে অনিচ্ছা সত্ত্বেও কাজটি করতে বাধ্য হল।', 'গরজ বড় বালাই, কিন্তু এড়ানো যায় না।']",bagdhara
2955,গরজ বড় বালাই,গরজ (জরুরি প্রয়োজন বা চাপ) বড় (বড়) বালাই (আপদ বা কষ্ট),প্রয়োজনের গুরুত্ব; স্বার্থের তাগিদ; স্বার্থের জ্বালা বড় জ্বালা; যে দাবি যেমন করে হোক মেটাতে হয়,The importance of necessity; the pressure of self-interest; the distress of personal gain is a major distress; a demand that must be fulfilled by any means necessary,"['Desperate times call for desperate measures', 'Necessity knows no law', ""Beggars can't be choosers""]",Desperate times call for desperate measures; Necessity knows no law; Beggars can't be choosers,"['পেটের গরজ বড় বালাই, তাই সে যেকোনো কাজ করতে রাজি হয়ে গেল।', 'গরজে গঙ্গাস্নান করে সে তার প্রয়োজন মিটিয়েছে।']",bagdhara
2956,গরম কাপড়,গরম (hot/warm) কাপড় (clothes),শীতের পশমিপোশাক,Winter woolen garments,"['Warm winter clothes', 'Heavy woolens']",Warm winter clothes; Heavy woolens,"['শীতকালে গরম কাপড় না পরলে ঠান্ডা লাগবে।', 'বাজার থেকে নতুন গরম কাপড় কিনে এনেছি।']",bagdhara
2957,গরম খবর,গরম (hot) খবর (news),উত্তেজনাপূর্ণ খবর,sensational or exciting news,"['breaking news', 'hot off the press', 'juicy gossip']",breaking news; hot off the press; juicy gossip,"['আজকের খবরে গরম খবর এসেছে, সবাই উত্তেজিত হয়ে উঠেছে।', 'তার কাছে গরম খবর আছে, শীঘ্রই বলবে।']",bagdhara
2959,গরমাগরম,গরম-গরম (অর্থাৎ উষ্ণতায় ভরা),"একেবারে সদ্য-ভাজা, টাটকা","Piping hot, freshly made or brand new","['Hot off the press', 'Fresh out of the oven']",Hot off the press; Fresh out of the oven,"['গরমাগরম লুচি খেয়ে নাও।', 'গরমাগরম খবর এনেছে সংবাদপত্রে।']",bagdhara
2960,গরম গরম কথা,গরম গরম কথা (hot hot words),কটুবাক্য; কড়াকড়া কথা,harsh or biting words,"['heated words', 'cutting remarks']",heated words; cutting remarks,"['সে রাগের মাথায় গরম গরম কথা বলে ফেলল।', 'বিতর্কের সময় তার মুখ থেকে গরম গরম কথা বেরিয়ে এল।']",bagdhara
2961,গরম পানীয়,গরম (hot) পানীয় (drink),বিয়ার জিন রাম ইত্যাদি অ্যালকোহলযুক্ত পানীয়,"Beer, gin, rum, etc., alcoholic beverages","['hard liquor', 'strong drink', 'firewater']",hard liquor; strong drink; firewater,"['পার্টিতে গরম পানীয় সার্ভ করা হয়েছে।', 'তিনি গরম পানীয় পছন্দ করেন না।']",bagdhara
2962,গরম মেজাজ,গরম (hot) মেজাজ (temper/mood),ত্রুদ্ধ; রুষ্ট মেজাজ,irritable; angry temper,"['hot-tempered', 'short-tempered', 'fiery mood']",hot-tempered; short-tempered; fiery mood,"['তার গরম মেজাজের কারণে অফিসে সবাই সতর্ক থাকে।', 'ছোটখাটো কথায় তার গরম মেজাজ ফুটে ওঠে।']",bagdhara
2963,গরমিল,হিসাব বা গণনায় অমিল বা বৈষম্য,"হিসাবে বৈষম্য, ভুল",Discrepancy or error in accounts or calculations,"[""Doesn't add up"", ""The numbers don't match""]",Doesn't add up; The numbers don't match,"['তার ব্যাঙ্কের হিসাবে কিছু গরমিল দেখা যাচ্ছে।', 'দোকানের লেনদেনে গরমিল হয়েছে।']",bagdhara
2964,গরিবখানা,গরিবের ঘর (poor house),আপনগৃহসম্পর্কে বিনয় ও সৌজন্যসূচক উল্লেখ,A humble and courteous reference to one's own home,"['my humble abode', 'my modest home']",my humble abode; my modest home,"['আমার গরিবখানায় আসবেন কবে?', 'আপনাদের গরিবখানায় স্বাগতম।']",bagdhara
2965,গরিব-গুরবো,গরিব এবং গুরবো (দরিদ্র এবং অভাবী ব্যক্তি),বিত্তহীন সম্প্রদায়,The destitute or impoverished community,"['The poor and downtrodden', 'The have-nots']",The poor and downtrodden; The have-nots,"['গরিব-গুরবোদের জন্য সরকারের কোনো পরিকল্পনা নেই।', 'সমাজের গরিব-গুরবোদের কথা মনে রাখতে হবে।']",bagdhara
2966,গরীবের ঘোড়ারোগ,দরিদ্র ব্যক্তির ঘোড়ার রোগ,অবস্থার অতিরিক্ত ব্যয়ের সাধ; উৎকট বাসনার বাতিক; সামর্থের বাইরে অন্যায় প্রত্যাশা করা; দরিদ্রের বড়মানুষি চাল-চলনের ঝোঁক,Desire for excessive expenditure beyond one's means; intense craving for unattainable wishes; unjust expectations exceeding one's capacity; the poor's inclination towards ostentatious big-man lifestyle,"[""Living beyond one's means"", 'Champagne taste on a beer budget', 'Keeping up with the Joneses']",Living beyond one's means; Champagne taste on a beer budget; Keeping up with the Joneses,"['তার গরীবের ঘোড়ারোগে সে সস্তা জিনিস কিনতে পারে না, সবসময় দামি জিনিসের দিকে আকৃষ্ট হয়।', 'গ্রামের এই ছেলেটির গরীবের ঘোড়ারোগ তাকে ধনীদের মতো বেঁচে থাকতে বাধ্য করছে।']",bagdhara
2967,গরু,গরু (cow),আকাট মুর্খ,utter fool or complete idiot,"['dumb as an ox', 'thick as a brick']",dumb as an ox; thick as a brick,"['সে এতটা গরু যে সাধারণ কথাও বুঝতে পারে না।', 'এই গরু কাজটি করতে গিয়ে সব নষ্ট করে দিল।']",bagdhara
