idiom_hi,meaning_hi,literal_hi,sentence_hi
सिर पर चढ़ाना,To spoil someone with too much affection.,To lift onto the head.,Tumne use sir par chadha rakha hai.
रंग में भंग डालना,To ruin enjoyment.,To spoil color.,Usne party mein rang mein bhang daal diya.
आसमान से गिरा खजूर में अटका,From bad to worse.,"Fell from sky, stuck in date tree.",Naukri chhuti aur woh aur musibat mein phas gaya.
तेल देखो तेल की धार देखो,Wait and observe carefully.,Watch oil and its flow.,Faisla lene se pehle tel ki dhar dekho.
घर का भेदी लंका ढाए,An insider can cause downfall.,Insider destroys Lanka.,Ghar ka bhedi hi sabse bada khatra hota hai.
ऊँट के मुँह में जीरा,Too little for need.,Cumin in camel's mouth.,Yeh paisa to oont ke muh mein jeera hai.
नौ दो ग्यारह होना,To run away quickly.,Nine two eleven.,Police dekhte hi woh nau do gyarah ho gaya.
आँख का तारा,Very प्रिय person.,Star of the eye.,Woh apni maa ka aankh ka tara hai.
दिल जीत लेना,To impress deeply.,To win heart.,Usne sabka dil jeet liya.
नाक ऊँची करना,To make proud.,To raise nose.,Usne desh ki naak unchi kar di.
कलेजा मुँह को आना,To be extremely scared.,Heart comes to mouth.,Accident dekh kar mera kaleja muh ko aa gaya.
पैरों तले जमीन खिसकना,To be shocked.,Ground slipping under feet.,Khabar sun kar uske pairon tale zameen khisak gayi.
आँखें खुलना,To realize truth.,Eyes opening.,Sach jaan kar meri aankhen khul gayi.
हाथ साफ करना,To steal.,To clean hands.,Chor ne paise par haath saaf kar diya.
आँख मूँदना,To ignore.,To close eyes.,Galti par aankh moond lena galat hai.
साँप सूँघ जाना,To become silent suddenly.,Snake smelling.,Teacher ke aate hi sabko saanp soongh gaya.
धूल चटाना,To defeat badly.,Make eat dust.,Team ne opponent ko dhool chata di.
हाथ खड़े करना,To give up.,Raise hands.,Usne mushkil dekh kar haath khade kar diye.
आँखों का काँटा,A person who is disliked or irritating.,Thorn in the eyes.,Woh uska aankhon ka kaanta ban gaya hai.
चार चाँद लगना,To enhance beauty or value.,To add four moons.,Uski kala ne program mein char chand laga diye.
आँखों से गिरना,To lose respect.,To fall from eyes.,Uski harkaton se woh sabki aankhon se gir gaya.
पानी सिर से गुजरना,Situation getting out of control.,Water crossing the head.,Ab to paani sir se guzar gaya hai.
मुँह की खाना,To face defeat.,To eat one's face.,Usne competition mein muh ki kha li.
आग बबूला होना,To become extremely angry.,To become fire bubble.,Woh baat sun kar aag baboola ho gaya.
घी के दीये जलाना,To celebrate happily.,To light lamps of ghee.,Jeet ki khushi mein logon ne ghee ke diye jalaye.
आँखों में बसना,To be dearly loved.,To reside in eyes.,Woh apne maa-baap ki aankhon mein basta hai.
हाथ से निकलना,To lose control.,To slip from hands.,Mauka haath se nikal gaya.
पीठ दिखाना,To run away.,To show one's back.,Darr ke maare woh peeth dikha kar bhaag gaya.
पसीना छूटना,To become nervous or scared.,Sweat breaking out.,Exam dekh kar mera paseena chhoot gaya.
सिर चढ़ना,To become arrogant.,To climb on head.,Usko zyada pyar dene se woh sir chadh gaya.
नाक में नकेल डालना,To control strictly.,To put a ring in nose.,Usne badmashon ki naak mein nakel daal di.
दिल छोटा करना,To lose courage.,To make heart small.,Itni si baat par dil chhota mat karo.
कान भरना,To instigate someone.,To fill ears.,Usne boss ke kaan bhar diye.
सिर खपाना,To think hard.,To grind head.,Maine is problem par bahut sir khapaya.
दाल गलना,To succeed in a plan.,Lentils getting cooked.,Yahan tumhari daal nahi galne wali.
आँखें फेर लेना,To ignore or abandon.,To turn eyes away.,Mushkil mein sabne aankhen pher li.
हाथ पैर फूलना,To panic.,Hands and legs swelling.,Interview se pehle mere haath pair phool gaye.
कलेजा ठंडा होना,To feel satisfied after revenge.,Heart becoming cool.,Badla lene ke baad uska kaleja thanda hua.
रातों-रात बदल जाना,Sudden change.,To change overnight.,Uski zindagi raaton raat badal gayi.
पाँव जमाना,To establish oneself.,To fix feet.,Usne shehar mein apne paav jama liye.
मुँह फुलाना,To sulk.,To puff face.,Chhoti si baat par muh phula liya.
रंग बदलना,To change attitude quickly.,To change color.,Woh girgit ki tarah rang badalta hai.
खून पसीना एक करना,To work extremely hard.,To mix blood and sweat.,Usne safalta ke liye khoon paseena ek kar diya.
मुँह में पानी आना,To crave food.,Water in mouth.,Khane ko dekh kar muh mein pani aa gaya.
आँखों पर पर्दा पड़ना,To be unaware of truth.,Curtain over eyes.,Uski aankhon par parda pada hua hai.
हाथ तंग होना,To be financially weak.,Hands being tight.,Aajkal mera haath tang hai.
दिमाग खराब होना,To get irritated.,Mind getting spoiled.,Zyada shor se mera dimaag kharab ho gaya.
जुबान फिसलना,To say something unintentionally.,Tongue slipping.,Uski jubaan phisal gayi.
आँखों का पानी उतरना,To lose self-respect.,Water of the eyes falling.,Uski harkaton se uski aankhon ka pani utar gaya.
कान पकड़ना,To promise not to repeat a mistake.,To hold ears.,Usne galti ke baad kaan pakad liye.
दिल लगाना,To become emotionally involved.,To attach heart.,Usne kaam mein dil laga liya.
पीठ पीछे वार करना,To betray someone.,To attack from behind.,Usne dosti mein peeth peeche vaar kiya.
आँखें चार होना,To meet face to face.,Four eyes meeting.,Dono ki aankhen chaar ho gayi.
दाल में काला होना,Something suspicious.,Black in lentils.,Mujhe lagta hai daal mein kuch kala hai.
सिर पर हाथ रखना,To bless or support.,To place hand on head.,Guru ne uske sir par haath rakha.
आँखों में चमक आना,To feel excitement.,Spark in eyes.,Jeet ki khabar sun kar uski aankhon mein chamak aa gayi.
हाथ धोकर पीछे पड़ना,To be persistently after someone.,To chase after washing hands.,Woh mere peeche haath dho kar pada hai.
माथा ठोकना,To regret or be frustrated.,To hit forehead.,Galti samajh kar woh matha thokne laga.
कान काटना,To outsmart someone.,To cut ears.,Woh chalak aadmi sabke kaan kaat leta hai.
दिल बहलाना,To divert attention.,To entertain the heart.,Bachche apna dil behla rahe hain.
नाक में दम हो जाना,To be extremely troubled.,Nose getting troubled.,Uski wajah se sabki naak mein dum ho gaya.
पसीना पोंछना,To relax after effort.,To wipe sweat.,Kaam ke baad woh paseena ponch raha tha.
सिर पकड़ लेना,To feel stressed.,To hold head.,Problem dekh kar woh sir pakad kar baith gaya.
हाथ जोड़ना,To request humbly.,To join hands.,Usne haath jod kar maafi maangi.
दिल टूटना,To feel emotional pain.,Heart breaking.,Uska dil toot gaya.
पैर उखड़ जाना,To lose stability.,Feet uprooted.,Mushkil mein uske pair ukhad gaye.
रास्ता निकालना,To find a solution.,To find a path.,Hum koi na koi rasta nikaal lenge.
दिल पर लेना,To take something personally.,To take on heart.,Chhoti baat ko dil par mat lo.
हाथ से जाना,To lose something.,To go from hand.,Mauka haath se chala gaya.
आँखें तरेरना,To show anger.,To widen eyes.,Teacher ne aankhen tarer di.
दिल साफ होना,To be honest.,Heart being clean.,Uska dil bahut saaf hai.
सिर झुकाना,To accept defeat.,To bow head.,Usne haar maan kar sir jhuka liya.
पैर जमाना मुश्किल होना,Hard to establish oneself.,Difficult to fix feet.,Naye shehar mein paav jamana mushkil hai.
दिल खुश करना,To please someone.,To make heart happy.,Uski baat ne mera dil khush kar diya.
सिर दर्द बनना,To become a problem.,To become headache.,Yeh kaam ab sir dard ban gaya hai.
कान में कहना,To speak secretly.,To say in ear.,Usne mere kaan mein kuch kaha.
दिल बहक जाना,To be tempted.,Heart getting misled.,Uska dil bahak gaya.
हाथ में लेना,To take responsibility.,To take in hand.,Usne project apne haath mein le liya.
आँखों में बस जाना,To be deeply loved or admired.,To settle in the eyes.,Woh bachcha sabki aankhon mein bas gaya.
दिल में बसाना,To cherish someone deeply.,To place in the heart.,Usne use dil mein basa liya.
पैर भारी होना,To feel reluctant to move.,Feet becoming heavy.,Uske pair bhari ho gaye the ghar chhodte waqt.
सिर पर कफन बाँधना,To be ready to risk life.,To tie a shroud on the head.,Sainikon ne sir par kafan baandh liya.
आँखों का नूर,Someone very dear.,Light of the eyes.,Woh apne pita ki aankhon ka noor hai.
हाथ से फिसलना,To lose an opportunity.,To slip from the hand.,Mauka haath se phisal gaya.
दिल का बोझ हल्का करना,To express feelings.,To lighten the heart's burden.,Usne baat karke dil ka bojh halka kiya.
नाक रगड़ना,To beg humbly.,To rub the nose.,Usne maafi ke liye naak ragdi.
पैर पकड़ना,To plead sincerely.,To hold feet.,Woh maafi ke liye pair pakadne laga.
दिल में चुभना,To hurt emotionally.,To prick the heart.,Uski baat dil mein chubh gayi.
हाथ झाड़ लेना,To abandon responsibility.,To shake off hands.,Usne kaam se haath jhad liya.
सिर पर सवार होना,To dominate or overwhelm.,To ride on the head.,Gussa uske sir par sawar ho gaya.
दिल में गाँठ पड़ना,To hold grudges.,Knot in heart.,Uske dil mein baat ki gaanth pad gayi.
पसीना बहाना,To work hard.,To shed sweat.,Usne safalta ke liye paseena bahaya.
आँखों में खटकना,To be unpleasant.,To prick in eyes.,Uska vyavahar sabko aankhon mein khatakta hai.
दिल बैठ जाना,To feel hopeless.,Heart sinking.,Khabar sun kar mera dil baith gaya.
हाथ बाँधना,To be helpless.,To tie hands.,"Main majboor tha, mere haath bandhe the."
सिर उठाना,To show courage.,To raise head.,Usne himmat karke sir uthaya.
दिल पिघलना,To feel compassion.,Heart melting.,Bachche ko dekh kar uska dil pighal gaya.
पैर टिकाना,To settle.,To fix feet.,Usne shehar mein pair tika liye.
आँखों में भर लेना,To admire deeply.,To fill in eyes.,Usne nazara aankhon mein bhar liya.
दिल में जगह बनाना,To gain affection.,To make space in heart.,Usne sabke dil mein jagah bana li.
हाथ खींच लेना,To withdraw support.,To pull back hands.,Usne project se haath kheench liya.
सिर पर बोझ होना,To be a burden.,Load on head.,Yeh zimmedari uske sir par bojh hai.
दिल लगाकर काम करना,To work sincerely.,Work with heart.,Usne dil lagakar kaam kiya.
पैरों में जंजीर होना,To be restricted.,Chains in feet.,Uski azadi par jaise pairon mein zanjeer thi.
आँखों से ओझल होना,To disappear.,Out of sight.,Woh aankhon se ojhal ho gaya.
दिल में डर बैठना,To become afraid.,Fear settling in heart.,Uske dil mein dar baith gaya.
हाथ ताली बजाना,To show approval.,To clap hands.,Logon ne haath tali bajayi.
सिर घुमाना,To confuse.,To rotate head.,Yeh sawal mera sir ghuma raha hai.
दिल उछलना,To feel excited.,Heart jumping.,Jeet ki khabar se dil uchhal gaya.
पैर पीछे हटाना,To withdraw.,To step back.,Woh zimmedari se pair peeche hata gaya.
आँखों में आँसू भरना,To feel emotional.,Tears filling eyes.,Uski aankhon mein aansu bhar aaye.
दिल में चिंगारी होना,To have passion.,Spark in heart.,Uske dil mein junoon ki chingari hai.
हाथ फैलाना,To beg.,To spread hands.,Woh paison ke liye haath phaila raha tha.
सिर नीचे करना,To feel ashamed.,To lower head.,Usne sharm se sir neeche kar liya.
दिल में आग लगना,To feel jealousy or anger.,Fire in heart.,Uski safalta dekh kar dil mein aag lag gayi.
पैर उखाड़ देना,To defeat completely.,To uproot feet.,Team ne opponent ke pair ukhad diye.
आँखों में धुंध छा जाना,To lose clarity.,Fog covering eyes.,"Use kuch samajh nahi aaya, aankhon mein dhund chha gayi."
दिल बहल जाना,To feel relieved.,Heart getting entertained.,Doston ke saath dil behal gaya.
